,Title,Publication Year,Author
73,On the madness in his method: R. B. Cattell’s contributions to structural equation modeling,1984,J. J. McArdle
74,Comparative longitudinal structural analyses of the growth and declineof multiple intellectual abilities over the life span,2002,"J. J. McArdle, E. Ferrer-Caja, F. Hamagami, R. W. Woodcock"
75,Modeling the dynamic hypotheses of Gf–Gc theory using longitudinallife-span data,2000,"J. J. McArdle, F. Hamagami, W. Meredith, K. P. Bradway"
76,A meta-analysis of infant habituation and recognition memory performance as predictors of later IQ,1993,"R. B. McCall, M. Carriger"
77,Biomanipulation in shallow lakes in The Netherlands: An evaluation of 18 case studies,1999,"M.-L. Meijer, I. de Boois, M. Scheffer, R. Portielje, H. Hosper"
78,State space techniques in structural equation modeling: Transformation of latent variables in and out of latent variablemodels,2003,P. C. M. Molenaar
79,A third source of developmental differences,1993,"P. C. M. Molenaar, D. I. Boomsma, C. V. Dolan"
80,Additional aspects of third source variation for the genetic analysis of human development andbehaviour: A commentary on Eaves et al.,1999,"P. C. M. Molenaar, M. E. J. Raijmakers"
81,Mathematical biology: I. An introduction,2002,J. D. Murray
82,Maturational constraints on language learning,1990,E. L. Newport
83,"Causality: Models, reasoning and inference",2000,J. Pearl
84,How could a child use verb syntax to learn verb semantics?,1994,S. Pinker
85,The genetics of gin human and mouse,2001,R. Plomin
86,"Intelligence: Genetics, genes, and genomics",2004,"R. Plomin, F. M. Spinath"
87,Mind as motion: Explorations in the dynamics of cognition,1995,"R. F. Port, T. van Gelder"
88,Habitat destruction in mutualistic metacommunities,2004,"S. Prakash, A. M. de Roos"
89,Practice and drop-out effects during a 17-year longitudinal study of cognitive aging,2004,"P. Rabbitt, P. Diggle, F. Holland, L. McInnes"
90,On structural model equivalence,1999,"T. Raykov, S. Penev"
91,Mental organization and age level,1944,S. Reichard
92,Comparative factor analytic studies of intelligence throughout the human life-span,1970,G. Reinert
93,A twin study of differentiation of cognitive abilities in childhood,2003,"M. J. H. Rietveld, C. V. Dolan, G. C. M. van Baal, D. I. Boomsma"
94,A critique of cross-lagged correlation,1980,D. Rogosa
95,Dimensions of cognition in infancy,2004,"S. A. Rose, J. F. Feldman, J. J. Jankowski"
96,The structure of infant cognition at 1 year,2005,"S. A. Rose, J. F. Feldman, J. J. Jankowski"
97,How people make their own environments: A theory of genotype 3environment effects,1983,"S. Scarr, K. McCartney"
98,Ecology of shallow lakes,1998,M. Scheffer
99,Matrix analysis for statistics,1997,J. R. Schott
100,Children’s thinking,2005,"R. S. Siegler, M. W. Alibali"
101,Can measures of infant habituation predict later intellectual ability?,1997,A. Slater
102,"General intelligence, objectively determined and measured",1904,C. Spearman
103,The abilities of man: Their nature and measurement,1927,C. Spearman
104,Competition with evolution in ecology and finance,2004,J. C. Sprott
105,The triarchic mind: A new theory of intelligence,1988,R. J. Sternberg
106,"Metacognition, abilities, and developing expertise: What makes an expert student?",1998,R. J. Sternberg
107,The general factor of intelligence,2002,"R. J. Sternberg, E. L. Grigorenko"
108,The effects of social anxiety and social skills on academic performance,2003,E. Y. Strahan
109,Connectionism and dynamic systems: Are they really different?,2003,"E. Thelen, E. Bates"
110,A dynamic systems approach to the development of cognition and action,1994,"E. Thelen, L. B. Smith"
111,"Differences in heritability across groups differing in ability, revisited",1993,"L. A. Thompson, D. K. Detterman, R. Plomin"
112,The factorial analysis of human ability,1951,G. Thomson
113,The measurement of intelligence,1927,R. L. Thorndike
114,g,1994,R. L. Thorndike
115,Primary mental abilities,1938,L. L. Thurstone
116,Age-related differentiation of cognitive abilities in ages 3–7,2004,"E. Tideman, J. E. Gustafsson"
117,Dynamics and comparative statics of mutualistic communities,1979,"C. C. Travis, W. M. Post"
118,Reading performance and verbal short-term memory:A twin study of reciprocal causation,1995,"S. J. Wadsworth, J. C. DeFries, D. W. Fulker, R. K. Olson, B. F. Pennington"
119,Causality in complex systems,1999,A. Wagner
120,Are intelligence tests measurementinvariant over time? Investigating the nature of the Flynn effect,2004,"J. M. Wicherts, C. V. Dolan, D. J. Hessen, P. Oosterveld, G. C. M. van Baal, D. I. Boomsma"
121,A dynamic systems model of cognitive and language growth,1991,P. van Geert
122,Dynamic systems of development: Change between complexity and chaos,1994,P. van Geert
123,Dynamic systems approaches and modeling of developmental processes,2003,P. van Geert
124,Large species shifts triggered by small forces,2004,"E. H. van Nes, M. Scheffer"
125,Developmental transitions: So what’s new?,1998,"H. L. J. van der Maas, B. Hopkins"
126,Developmental transitions,1998,"H. L. J. van der Maas, B. Hopkins"
127,Stagewise cognitive development: An application of catastrophe theory,1992,"H. L. J. van der Maas, P. C. M. Molenaar"
