Author,Title,Publication Year,Abstract Note,SOURCE
m. fix r. struyk,Clear and Convincing Evidence: Measurement of Discrimination in America,1993,"Auditing is a technique used to test for discrimination. The concept is straightforward: Two individuals are matched on all relevant characteristics except the one presumed to lead to discrimination. Each person then applies for the same job, housing, mortgage loan, or credit card. The differential treatment they receive provides a measure of discrimination. The authors argue that the value of auditing has grown in the current legal and political environment because it can detect subtle forms of discrimination.",10.2307/2524673
"devin pope, justin r. sydnor,",What's in a Picture?: Evidence of Discrimination from Prosper.com,2012,"We find evidence of significant racial disparities in a new type of credit market known as peer-to-peer lending. Loan listings with blacks in the attached picture are 25 to 35 percent less likely to receive funding than those of whites with similar credit profiles. Despite the higher average interest rates charged to blacks, lenders making such loans earn a lower net return compared to loans made to whites with similar credit profiles because blacks have higher relative default rates. These results provide insight into whether the discrimination we find is taste-based or statistical.",data/insta_short.pdf
m. hedegaard jean-robert tyran,The Price of Prejudice,2014,"We present a new type of field experiment to investigate ethnic prejudice in the workplace. Our design allows us to study how potential discriminators respond to changes in the cost of discrimination. We find that ethnic discrimination is common but remarkably responsive to the ""price of prejudice"", i.e. to the opportunity cost of choosing a less productive worker on ethnic grounds. In addition, we find that the standard theory of statistical discrimination fails to explain observed choices, and that taking ethnic prejudice into account helps to predict the incidence of discrimination.",10.2139/ssrn.2430766
r. mujcic p. frijters,The Colour of a Free Ride,2020,"
 We use a natural field experiment to estimate the causal effect of race on discretionary favours in the marketplace. Test customers are randomly assigned to board public buses with no money to purchase a fare, leaving the bus driver to voluntarily decide whether to offer them a free ride. Based on 1,552 transactions, we uncover strong evidence of racial bias: bus drivers were twice as willing to let white testers ride free as black testers (72% vs. 36% of the time). Signals of wealth and patriotism improve minority testers’ outcomes. Our results show that white privilege extends to unregulated daily interactions.",10.1093/ej/ueaa090
d. deming noam yuchtman a. abulafi c. goldin lawrence f. katz,The Value of Postsecondary Credentials in the Labor Market: An Experimental Study,2014,"We study employers’ perceptions of the value of postsecondary degrees using a field experiment. We randomly assign the sector and selectivity of institutions to fictitious resumes and apply to real vacancy postings for business and health jobs on a large online job board. We find that a business bachelor’s degree from a for-profit “online” institution is 22 percent less likely to receive a callback than one from a non-selective public institution. In applications to health jobs, we find that for-profit credentials receive fewer callbacks unless the job requires an external quality indicator such as an occupational license.",10.1257/AER.20141757
k. lang m. manove,Education and Labor-Market Discrimination,2005,"Short Abstract: We combine statistical discrimination with educational sorting. Our model predicts that blacks get more education than whites of similar ability and that blacks have lower wages than similarly educated whites, both conrmed in the data. Our model suggests, that when measuring the black-white earnings di¤erential, one should control for both AFQT and education. In that case, a substantial wage di¤erential emerges. We explore and reject the hypothesis that school quality di¤erences explain the wage and education di¤erentials, suggesting that some of the wage di¤erential reects the operation of the labor market.",10.3386/w12257
v. veterinarov v. ivanov,Slavs Only: Ethnic Discrimination and Rental Prices,2018,We study the cost of ethnic discrimination for the landlords in the housing market. There are no legal fines for ethnic discrimination in the Russian market for rental apartments – hence we can observe explicit nationality-based constraints via advertisements. After controlling on all apartment characteristics we find that ethnic discrimination is connected with a significant decrease in price. This result is consistent with Becker’s theory of taste-based discrimination. These losses are lower the more landlords in Neighborhood prefer to discriminate. It sheds some light on mechanism facilitating the persistence of discrimination.,10.2139/ssrn.3249624
margarita machelett,Gender price gaps and competition: Evidence from a correspondence study,2018,"I implement a large-scale field experiment in the US auto repair industry to study the existence and structure of gender-based price discrimination in service markets. Women receive price quotes that are 2 percent (over 9 dollars) higher than men. These differences disappear once women signal low search costs, suggesting statistical rather than tastebased discrimination. Price requests that appear to come from high-income households raise quotes for men but not women, also eliminating the gender gap. The price gap also falls with the number of nearby repair shops, suggesting that market competition alleviates gender-based price discrimination. JEL codes: C93, D4, J16, J18, J71",10.1257/rct.3279-3.0
w. gornall ilya a. strebulaev,"Gender, Race, and Entrepreneurship: A Randomized Field Experiment on Venture Capitalists and Angels",2020,"We study gender and race in high-impact entrepreneurship using a tightly controlled randomized field experiment. We sent out 80,000 pitch emails introducing promising but fictitious start-ups to 28,000 venture capitalists and angels. Each email was sent by a fictitious entrepreneur with randomly assigned gender and race. Female entrepreneurs received 9% more interested replies than males pitching identical projects and Asians received 6% more than Whites. Our results suggest that investors do not discriminate against female or Asian entrepreneurs when evaluating unsolicited pitch emails and that future research on investor biases should focus on networks and in-person interactions.",10.2139/ssrn.3301982
weiwen leung zheng zhang daviti jibuti jinhao zhao maximilian klein casey s. pierce l. robert haiyi zhu,"Race, Gender and Beauty: The Effect of Information Provision on Online Hiring Biases",2020,"We conduct a study of hiring bias on a simulation platform where we ask Amazon MTurk participants to make hiring decisions for a mathematically intensive task. Our findings suggest hiring biases against Black workers and less attractive workers, and preferences towards Asian workers, female workers and more attractive workers. We also show that certain UI designs, including provision of candidates' information at the individual level and reducing the number of choices, can significantly reduce discrimination. However, provision of candidate's information at the subgroup level can increase discrimination. The results have practical implications for designing better online freelance marketplaces.",10.2139/ssrn.3520625
jonathan guryan k. charles,Taste�?Based or Statistical Discrimination: The Economics of Discrimination Returns to its Roots,2013,"We briefly review the evolution of empirical work on discrimination. We discuss why traditional regression‐based approaches neither convincingly measure market discrimination nor disentangle the relative importance of animus versus statistical discrimination in explaining such discrimination as exists. We describe the development of modern correspondence studies. We argue that these studies have the promise to credibly identify the presence of discrimination if not its magnitude, can inform us about the underlying mechanism generating discrimination and can also point to avenues for new theoretical and empirical work on discrimination. We discuss two articles with exemplary applications of these new methods.",10.1111/ecoj.12080
j. heckman,Detecting Discrimination,1998,"you have obtained prior permission, you may not download an entire issue of a journal or multiple copies of articles, and you may use content in the JSTOR archive only for your personal, non-commercial use. Each copy of any part of a JSTOR transmission must contain the same copyright notice that appears on the screen or printed page of such transmission. JSTOR is a not-for-profit organization founded in 1995 to build trusted digital archives for scholarship. We work with the scholarly community to preserve their work and the materials they rely upon, and to build a common research platform that promotes the discovery and use of these resources. For more information about JSTOR, please contact support@jstor.org.",10.1257/jep.12.2.101
alexander s. cauley j. zax,Alphabetism: The Effects of Surname Initial and the Cost of Being Otherwise Undistinguished,2018,"A small literature demonstrates that names are economically relevant. However, this is the first paper to examine the relationship between surname initial rank and male life outcomes, including human capital investments and labor market experiences. Surnames with initials farther from the beginning of the alphabet were associated with less distinction and satisfaction in high school, lower educational attainment, more military service and less attractive first jobs. These effects were concentrated among men who were undistinguished by cognitive ability or appearance, and, for them, may have persisted into middle age. They suggest that ordering is important and that over-reliance on alphabetical orderings can be harmful.",10.2139/ssrn.3272556
morgane laouénan roland rathelot,Can Information Reduce Ethnic Discrimination? Evidence from Airbnb,2022,"We use data from Airbnb to identify the mechanisms underlying discrimination against ethnic minority hosts. Within the same neighborhood, hosts from minority groups charge 3.2 percent less for comparable listings. Since ratings provide guests with increasingly rich information about a listing’s quality, we can measure the contribution of statistical discrimination, building upon Altonji and Pierret (2001). We find that statistical discrimination can account for the whole ethnic price gap: ethnic gaps would disappear if all unobservables were revealed. Also, three-quarters (2.5 points) of the initial ethnic gap can be attributed to inaccurate beliefs of potential guests about hosts’ average group quality. (JEL D83, J15, L84)",10.1257/app.20190188
benjamin edelman michael luca d. svirsky,Racial Discrimination in the Sharing Economy: Evidence from a Field Experiment,2016,"In an experiment on Airbnb, we find that applications from guests with distinctively African American names are 16 percent less likely to be accepted relative to identical guests with distinctively white names. Discrimination occurs among landlords of all sizes, including small landlords sharing the property and larger landlords with multiple properties. It is most pronounced among hosts who have never had an African American guest, suggesting only a subset of hosts discriminate. While rental markets have achieved significant reductions in discrimination in recent decades, our results suggest that Airbnb's current design choices facilitate discrimination and raise the possibility of erasing some of these civil rights gains.",10.2139/ssrn.2701902
bo zhao j. ondrich j. yinger,Why Do Real Estate Brokers Continue to Discriminate? Evidence from the 2000 Housing Discrimination Study,2005,"This paper studies racial and ethnic discrimination in discrete choices by real estate brokers using national audit data from the 2000 Housing Discrimination Study. It uses a fixed effects logit model to estimate the probability that discrimination occurs and to study the causes of discrimination. The data set makes it possible to control for auditors' actual demographic and socioeconomic characteristics, along with the characteristics assigned for the purposes of the audit. The study finds that discrimination continues to be strong but also documents a downward trend in both the scope and incidence of discrimination since 1989. The estimations also identify both brokers' prejudice and white customers' prejudice as causes of discrimination.",10.1142/9789813206670_0028
e. macchi,Worth Your Weight: Experimental Evidence on the Benefits of Obesity in Low-Income Countries,2023,"I study the economic value of obesity—a status symbol in poor countries associated with raised health risks. Randomizing decision-makers in Kampala, Uganda to view weight-manipulated portraits, I find that obesity is perceived as a reliable signal of wealth but not of beauty or health. Thus, leveraging a real-stakes experiment involving professional loan officers, I show that being obese facilitates access to credit. The large obesity premium, comparable to raising borrower self-reported earnings by over 60 percent, is driven by asymmetric information and drops significantly when providing more financial information. Notably, obesity benefits and wealth-signaling value are commonly overestimated, suggesting market distortions. (JEL D82, G21, G51, I12, O16, Z13)",10.1257/aer.20211879
m. ewens b. tomlin l. c. wang,Statistical Discrimination or Prejudice? A Large Sample Field Experiment,2012,"Abstract A model of racial discrimination provides testable implications for two features of statistical discriminators: differential treatment of signals by race and heterogeneous experience that shapes perception. We construct an experiment in the U.S. rental apartment market that distinguishes statistical discrimination from taste-based discrimination. Responses from over 14,000 rental inquiries with varying applicant quality show that landlords treat identical information from applicants with African American– and white-sounding names differently. This differential treatment varies by neighborhood racial composition and signal type in a manner consistent with statistical discrimination and in contrast to patterns predicted by a model of taste-based discrimination.",10.1162/REST_a_00365
h. holzer,Informal Job Search and Black Youth Unemployment,1986,"In this paper I analyze how young black and white unemployed jobseekers use various methods of search, and the employment outcomes which result from their use.The focus is on distinguishing informal search methods (i.e.,friends and relatives or direct application without referral) from more formal ones in analyzing racial differences.The results show that the two informal methods of search account for about 90% of the difference in employment probabilities between white and black youth. This also accounts for 57-71% of the difference in unemployment rates between the two. Furthermore, most of these results reflect differences in the ability of these methods to generate job offers, as opposed to differences in search effort or job acceptance rates. However, our ability to explain these differences through personal, family, and household characteristics was generally quite limited.",10.3386/W1860
roland g. fryer s. levitt,The Causes and Consequences of Distinctively Black Names,2003,"In the 1960's, Blacks and Whites chose relatively similar first names for their children. Over a short period of time in the early 1970's, that pattern changed dramatically with most Blacks (particularly those living in racially isolated neighborhoods) adopting increasingly distinctive names, but a subset of Blacks actually moving toward more assimilating names. The patterns in the data appear most consistent with a model in which the rise of the Black Power movement influenced how Blacks perceived their identities. Among Blacks born in the last two decades, names provide a strong signal of socio-economic status, which was not previously the case. We find, however, no negative causal impact of having a distinctively Black name on life outcomes. Although that result is seemingly in conflict with previous audit studies involving resumes, we argue that the two sets of findings can be reconciled.",10.1162/0033553041502180
s. m. gaddis,How Black Are Lakisha and Jamal? Racial Perceptions from Names Used in Correspondence Audit Studies,2017,"Online correspondence audit studies have emerged as the primary method to examine racial discrimination. Although audits use distinctive names to signal race, few studies scientifically examine data regarding the perception of race from names. Different names treated as black or white may be perceived in heterogeneous ways. I conduct a survey experiment that asks respondents to identify the race they associate with a series of names. I alter the first names given to each respondent and inclusion of last names. Names more commonly given by highly educated black mothers (e.g., Jalen and Nia) are less likely to be perceived as black than names given by less educated black mothers (e.g., DaShawn and Tanisha). The results suggest that a large body of social science evidence on racial discrimination operates under a misguided assumption that all black names are alike, and the findings from correspondence audits are likely sensitive to name selection.",10.15195/V4.A19
peter s. arcidiacono josh kinsler tyler ransom,Asian American Discrimination in Harvard Admissions,2020,"Detecting racial discrimination using observational data is challenging because of the presence of unobservables that may be correlated with race. Using data made public in the SFFA v. Harvard case, we estimate discrimination in a setting where this concern is mitigated. Namely, we show that there is a substantial penalty against Asian Americans in admissions with limited scope for omitted variables to overturn the result. This is because (i) Asian Americans are substantially stronger than whites on the observables associated with admissions and (ii) the richness of the data yields a model that predicts admissions extremely well. Our preferred model shows that Asian Americans would be admitted at a rate 19% higher absent this penalty. Controlling for one of the primary channels through which Asian American applicants are discriminated against--the personal rating--cuts the Asian American penalty by less than half, still leaving a substantial penalty.",10.3386/w27068
d. pager lincoln quillian,Walking the Talk? What Employers Say Versus What They Do,2005,"This article considers the relationship between employers' attitudes toward hiring exoffenders and their actual hiring behavior. Using data from an experimental audit study of entry-level jobs matched with a telephone survey of the same employers, the authors compare employers' willingness to hire black and white ex-offenders, as represented both by their self-reports and by their decisions in actual hiring situations. Employers who indicated a greater likelihood of hiring ex-offenders in the survey were no more likely to hire an ex-offender in practice. Furthermore, although the survey results indicated no difference in the likelihood of hiring black versus white ex-offenders, audit results show large differences by race. These comparisons suggest that employer surveys-even those using an experimental design to control for social desirability bias-may be insufficient for drawing conclusions about the actual level of hiring discrimination against stigmatized groups.",10.1177/000312240507000301
p. ferraro r. g. cummings,"Cultural Diversity, Discrimination, and Economic Outcomes: An Experimental Analysis",2007,"Economists have paid increasing attention to the role of cultural diversity in explaining the variability of economic outcomes across societies. We develop an experimental framework that complements existing research in this area. We implement the framework with two cultures that coexist in an industrialized society: the Hispanic and Navajo cultures in the southwestern United States. We vary the ethnic mix of our experimental sessions in order to infer the effect of intercultural interactions on economic behavior and outcomes. We control for demographic differences in our subject pools and elicit beliefs directly in order to differentiate between statistical discrimination and preference-based discrimination. We present clear evidence that Hispanic and Navajo subjects behave differently and that their behavior is affected by the ethnic composition of the experimental session. Our experimental framework has the potential to shed much needed light on economic behavior and outcomes in societies of mixed ethnicity, race and religion.",10.1111/j.1465-7295.2006.00013.x
david j. schwegman,Rental Market Discrimination Against Same-Sex Couples: Evidence From a Pairwise-Matched Email Correspondence Test,2018,"ABSTRACT I present the results of a randomized matched-pair email correspondence test of 6,490 unique property owners in 94 U.S. cities to provide a nationally representative estimate of the level of discrimination that same-sex couples experience when inquiring about rental housing. I find that same-sex male couples, especially non-White same-sex male couples, are less likely to receive a response to inquiries about rental units. I also find that same-sex Black male couples are subject to more subtle forms of discrimination than heterosexual Black couples are. I then examine whether state and local antidiscrimination laws covary with rates of housing discrimination against same-sex couples. Although my results are not causal, I find that antidiscrimination laws have an ambiguous relationship with rates of discrimination faced by same-sex couples. State-level housing protections, for example, covary positively with response rates for same-sex Black male couples, whereas local-level laws covary negatively with response rates for these couples.",10.1080/10511482.2018.1512005
"s. m. gaddis, r. ghoshal,",Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,2020,"Survey research finds that millennials have less prejudiced views of racial/ethnic minorities than other generations, leading some to label millennials as postracial. However, attitudinal survey research may be subject to social desirability bias because it documents statements or beliefs instead of actions. Moreover, most audit studies focus on people who make hiring decisions or own rental property and are therefore often older than millennials. This study uses a correspondence audit to investigate discrimination among millennials via “roommate wanted” advertisements. We sent over 4,000 emails and found a tiered pattern of discrimination against Asian (Indian and Chinese), Hispanic, and Black room-seekers. However, whether Asian and Hispanic room-seekers face significant discrimination varies based on whether they use predominantly White first names or traditional first names. Our findings shed light on the future of our racial system, expand our knowledge of discrimination beyond the traditional Black/White binary, and illustrate the persistence of anti-Blackness.",data/insta_short.pdf
"david n. figlio,","Names, Expectations and the Black-White Test Score Gap",2005,"This paper investigates the question of whether teachers treat children differentially on the basis of factors other than observed ability, and whether this differential treatment in turn translates into differences in student outcomes. I suggest that teachers may use a child's name as a signal of unobserved parental contributions to that child's education, and expect less from children with names that ""sound"" like they were given by uneducated parents. These names, empirically, are given most frequently by Blacks, but they are also given by White and Hispanic parents as well. I utilize a detailed dataset from a large Florida school district to directly test the hypothesis that teachers and school administrators expect less on average of children with names associated with low socio-economic status, and these diminished expectations in turn lead to reduced student cognitive performance. Comparing pairs of siblings, I find that teachers tend to treat children differently depending on their names, and that these same patterns apparently translate into large differences in test scores.",data/insta_short.pdf
"k. neckerman, joleen kirschenman,","Hiring Strategies, Racial Bias, and Inner-City Workers",1991,"This article explores the ways employers' hiring strategies affect the employment chances of inner-city blacks, using a recent survey of 185 Chicago-area firms. The authors find that employers commonly direct recruitment efforts to white neighborhoods and avoid recruitment sources that bring them a disproportionately inner-city black labor force; when they do draw applicants from poor black neighborhoods, they tend to use labor market intermediaries to recruit workers. There is also evidence that inner-city blacks often do poorly in job interviews in part because they lack the work experience that is so often a focal point of the interview, and in part because of race and class related differences in culture. Finally, there is preliminary evidence that skills testing is associated with higher proportions of black workers in entry-level jobs, suggesting that more objective means of screening prospective employees provide less latitude for racial bias. Racial bias appears to occur as employers search for productive workers and could be reduced by developing more effective ways for job applicants to demonstrate their skills.",data/insta_short.pdf
paola enríquez duque,(Mis)pronunciations of Hispanic Given Names in the U.S.: Positionalities and Discursive Strategies at Play,2023,"This qualitative study examines the indexical nature of given names and their role in self-positioning within diverse social contexts. The study centers on the pronunciation of Hispanic given names in the United States. The analysis is grounded in interviews with six young adults who recognize that their names have Spanish and English variants, and it demonstrates that bearers’ phonological awareness plays a critical role in distinguishing name variants and mispronunciations, as evidenced through metalinguistic comments. These distinctions are additionally shaped by personal criteria. By examining the participants’ narratives and one participant’s discursive strategies in particular, I show that the pronunciation of given names constitutes a significant linguistic resource intentionally mobilized and managed to negotiate social positionings. Moreover, this research highlights that conferring Hispanic given names in the U.S. constitutes a sociocultural strategy that extends beyond an indexical ethnocultural naming practice across generations. This practice is found to be a means of fostering and maintaining intergenerational relationships.",10.3390/languages8030199
marianne bertrand s. mullainathan,Are Emily and Greg More Employable than Lakisha and Jamal? A Field Experiment on Labor Market Discrimination,2003,"We perform a field experiment to measure racial discrimination in the labor market. We respond with fictitious resumes to help-wanted ads in Boston and Chicago newspapers. To manipulate perception of race, each resume is randomly assigned either a very African American sounding name or a very White sounding name. The results show significant discrimination against African-American names: White names receive 50 percent more callbacks for interviews. We also find that race affects the benefits of a better resume. For White names, a higher quality resume elicits 30 percent more callbacks whereas for African Americans, it elicits a far smaller increase. Applicants living in better neighborhoods receive more callbacks but, interestingly, this effect does not differ by race. The amount of discrimination is uniform across occupations and industries. Federal contractors and employers who list Equal Opportunity Employer in their ad discriminate as much as other employers. We find little evidence that our results are driven by employers inferring something other than race, such as social class, from the names. These results suggest that racial discrimination is still a prominent feature of the labor market.",10.2139/ssrn.422902
c. goldin c. rouse,"Orchestrating Impartiality: The Impact of ""Blind"" Auditions on Female Musicians",1997,"Discrimination against women has been alleged in hiring practices for many occupations, but it is extremely difficult to demonstrate sex-biased hiring. A change in the way symphony orchestras recruit musicians provides an unusual way to test for sex-biased hiring. To overcome possible biases in hiring, most orchestras revised their audition policies in the 1970s and 1980s. A major change involved the use of blind' auditions with a screen' to conceal the identity of the candidate from the jury. Female musicians in the top five symphony orchestras in the United States were less than 5% of all players in 1970 but are 25% today. We ask whether women were more likely to be advanced and/or hired with the use of blind' auditions. Using data from actual auditions in an individual fixed-effects framework, we find that the screen increases by 50% the probability a woman will be advanced out of certain preliminary rounds. The screen also enhances, by severalfold, the likelihood a female contestant will be the winner in the final round. Using data on orchestra personnel, the switch to blind' auditions can explain between 30% and 55% of the increase in the proportion female among new hires and between 25% and 46% of the increase in the percentage female in the orchestras since 1970.",10.1257/AER.90.4.715
s. m. gaddis nicholas v. dirago,"Audit Studies of Housing in the United States: Established, Emerging, and Future Research",2021,"Since the 1960s, social scientists, fair housing agencies, and the federal government have conducted hundreds of in-person and correspondence housing audits. Researchers use these covert experiments to make strong causal claims about difficult-to-detect behavior, such as racial, gender, and other types of discrimination. These studies have consistently uncovered discrimination in multiple stages and contexts of the housing exchange process. The housing audit literature is broad and robust, and a number of in-depth reviews already exist. In this chapter, we build on those reviews by focusing attention on emerging areas of inquiry and suggest new avenues of research pursuits. We begin by briefly reviewing the long history of housing audits including in-person HUD audits and correspondence audits of home sales and housing rentals. Next, we discuss three emerging areas of housing audit research – housing choice vouchers, short-term rentals, and roommate searches – and highlight important findings, new innovations, and areas of weakness. Finally, we conclude with a discussion about future directions of housing audits including using experiments to test for ways to reduce discrimination, using additional data to examine the mechanisms of housing discrimination, and designing modified audits to explore discrimination in other stages of housing exchange.",10.2139/ssrn.3796335
anja lambrecht catherine tucker,Apparent Algorithmic Discrimination and Real-Time Algorithmic Learning in Digital Search Advertising,2020,"An important concern is that algorithms can inadvertently discriminate against minority groups and reinforce existing inequality. Typically, the worry is that when classification algorithms are trained on a dataset that itself reflects bias this may reinforce bias. However, in the world of digital content many algorithms are making judgements in real time to determine what content will be engaging. We revisit the context of a classic study which documents that searches on Google for black names were more likely to return ads that highlighted the need for a criminal background check than searches for white names. We document that one explanation for this finding is that if an algorithm receives in real time less data about one group, it will learn at different speeds. Since black names are less common, the algorithm learns about the quality of the underlying ad more slowly, and as a result an ad, including an undesirable ad, is more likely to persist for searches next to black names even if the algorithm judges the ad to be of low-quality. We extend this result by presenting evidence that ads targeted towards searches for religious groups persist for longer for religious groups that are less searched for. This suggests that the process of real-time algorithmic learning can lead to differential outcomes across those whose characteristics are more common and those who are rarer in society.",10.2139/ssrn.3570076
j. finocchiaro r. maio f. monachou gourab k. patro manish raghavan ana-andreea stoica stratis tsirtsis,Bridging Machine Learning and Mechanism Design towards Algorithmic Fairness,2020,"Decision-making systems increasingly orchestrate our world: how to intervene on the algorithmic components to build fair and equitable systems is therefore a question of utmost importance; one that is substantially complicated by the context-dependent nature of fairness and discrimination. Modern decision-making systems that involve allocating resources or information to people (e.g., school choice, advertising) incorporate machine-learned predictions in their pipelines, raising concerns about potential strategic behavior or constrained allocation, concerns usually tackled in the context of mechanism design. Although both machine learning and mechanism design have developed frameworks for addressing issues of fairness and equity, in some complex decision-making systems, neither framework is individually sufficient. In this paper, we develop the position that building fair decision-making systems requires overcoming these limitations which, we argue, are inherent to each field. Our ultimate objective is to build an encompassing framework that cohesively bridges the individual frameworks of mechanism design and machine learning. We begin to lay the ground work towards this goal by comparing the perspective each discipline takes on fair decision-making, teasing out the lessons each field has taught and can teach the other, and highlighting application domains that require a strong collaboration between these disciplines.",10.1145/3442188.3445912
ariela schachter max besbris,Immigration and Neighborhood Change: Methodological Possibilities for Future Research,2017,"The recent settlement of immigrant populations into a wider range of geographies and communities across the United States raises new questions about the dynamics of residential segregation and complicates assumptions about how neighborhoods change—or don't—and why. While multiple theories attempt to explain the relationship between race/ethnicity, immigration, and neighborhood change, sociological examinations have been limited by the lack of systematic and frequently collected data. That is, the residential churn of neighborhoods, particularly in the market for rental housing where racial/ethnic minorities and immigrants predominate, often outpaces analysts’ ability to gather cross–neighborhood and cross–city data. In this essay we describe how online sources can help answer questions about race/ethnicity, immigration, and neighborhoods by providing large amounts of readily updatable data. An array of platforms designed to provide homeseekers with information about their housing options can also be used by sociologists for making claims about neighborhood change across multiple geographies. We review recent research that uses online data and describe an ongoing study by the authors that examines trends in the settlement patterns of immigrants and the rental housing market across the 50 largest MSAs in the United States. Online data sources can more accurately capture immigration and neighborhood processes, yielding better theories about the impact of immigration on neighborhood change.",10.1111/cico.12242
jennifer l. doleac l. stein,The Visible Hand: Race and Online Market Outcomes,2010,"We examine the effect of race on market outcomes by selling iPods through local online classified advertisements throughout the United States in a year-long field experiment. Each ad features a photograph of the product being held by a dark- or light-skinned (“black” or “white”) hand. To provide context, we also consider a group of sellers against whom buyers might statistically discriminate for similar reasons: white sellers with wrist tattoos. Black sellers do worse than white sellers on a variety of market outcome measures: They receive 13% fewer responses and 17% fewer offers. These effects are strongest in the Northeast, and are similar in magnitude to those associated with the display of a wrist tattoo. Conditional on receiving at least one offer, black sellers also receive 2–4% lower offers, despite the selfselected—and presumably less biased—pool of buyers. In addition, buyers corresponding with black sellers exhibit lower trust: They are 17% less likely to include their name in e-mails, 44% less likely to accept delivery by mail, and 56% more likely to express concern about making a long-distance payment. We find evidence that black sellers suffer particularly poor outcomes in thin markets; it appears that discrimination may not “survive” in the presence of significant competition among buyers. Furthermore, black sellers do worst in the most racially isolated markets and markets with high property crime rates, consistent with channels through which we might expect statistical discrimination to operate.",10.1111/ecoj.12082
matthieu manant serge pajak nicolas soulié,Can Social Media Lead to Labor Market Discrimination? Evidence from a Field Experiment,2017,"With the advance of online social networks, the screening of applicants during hiring can extend beyond the usual application material. Although browsing the online profile of an applicant raises ethical issues, this practice potentially improves the job matching, at virtually no cost to the employer. In this paper, we investigate the use of online social networks as a reliable source of information for recruiters on applicants in the French job market.We set up a field experiment using real accountant job offers in the greater Paris area. We adjust the content of Facebook accounts to manipulate the perceived origins of applicants (hometown and language spoken) and analyze the impact on the number of callbacks received from employers. The signal we manipulate to distinguish applicants is available only within the online profile, not the application material. During a 12 month period from March 2012 to March 2013, we submitted more than 800 applications. The test applicant received a third fewer callbacks compared to the control applicant, a significant difference. Our results suggest that online profiles are used indeed to screen applicants, and that this occurs early in the hiring process.During the course of the experiment, a change to the standard Facebook layout sent a part of our signal, namely the language spoken by the applicants, into a sub-tab not directly visible from the front page. This exogenous change (clicking on a tab is now required to access the information) allowed us to measure the recruiter's depth of search. In subsequent months, the gap between the two applicant types shrank and virtually disappeared. This suggests that screening is superficial, illustrating the existence of employer search costs for browsing an entire profile.",10.1111/jems.12291
