Abstract Note,SOURCE,Title,Publication Year,Author,Abstract Note Length
,data/intelligence_addon.pdf,Pólya-like urns and the Ewens' sampling formula,1984,"f. hoppe,",
,data/intelligence_addon.pdf,Sources of mathematical thinking: Behavioral and brain-imaging evidence,1999,S. Dehaene,
,data/intelligence_addon.pdf,Network Structure Explains the Impact of Attitudes on Voting Decisions,2017,"j. dalege, d. borsboom, frenk van harreveld, l. waldorp, h.l.j. van der maas,",
,10.1007/s10519-014-9646-x,"Genes, Evolution and Intelligence",2014.0,t. bouchard,
,data/intelligence_addon.pdf,Graphical Representations for Ising and Potts Models in General External Fields,2015,"l. cioletti, roberto vila,",
,data/intelligence_addon.pdf,A Parallel Implementation of the Cellular Potts Model for Simulation of Cell-Based Morphogenesis,2006,"n. chen, j. glazier, m. alber,",
,10.1038/s43586-021-00055-w,Network analysis of multivariate data in psychological science,2021.0,d. borsboom m. deserno m. rhemtulla s. epskamp e. fried r. mcnally donald j. robinaugh m. perugini j. dalege g. costantini a. isvoranu anna c. wysocki c. v. van borkulo r. van bork l. waldorp,
,data/intelligence_addon.pdf,"Intelligence : its structure, growth and action",1987,"r. cattell,",
,data/intelligence_addon.pdf,What is g?,2007,W. T. Dickens,
,data/intelligence_addon.pdf,An Expanded View of Complex Traits: From Polygenic to Omnigenic,2017,"e. boyle, yang i. li, j. pritchard,",
,data/intelligence_addon.pdf,Robustness in the Strategy of Scientific Model Building.,1979,"g. box,",
,data/intelligence_addon.pdf,"The two disciplines of scientific psychology, or: the disunity of psychology as a working hypothesis",2009,"d. borsboom, r. kievit, d. cervone, s. b. hood,",
,10.1007/978-3-662-47028-2_8,Intelligenz und schulische Leistungen,2021.0,r. siegler nancy eisenberg judy s. deloache jenny r. saffran,
,10.1016/J.INTELL.2018.12.004,Extending psychometric network analysis: Empirical evidence against g in favor of mutualism?,2019.0,k. kan h.l.j. van der maas s. levine,
,data/intelligence_addon.pdf,Measuring mental capacity: Thomson's bonds model and Spearman's g-model compared,2013,"d. bartholomew, m. allerhand, i. deary,",
,data/intelligence_addon.pdf,Measuring intelligence,2004,D. J. Bartholomew,
,10.1016/J.INTELL.2021.101540,Is there a “g-neuron”? Establishing a systematic link between general intelligence (g) and the von Economo neuron,2021.0,oliver j. bruton,
,data/intelligence_addon.pdf,The Relative Ineffectiveness of Criminal Network Disruption,2014,"p. duijn, v. kashirin, p. sloot,",
,data/intelligence_addon.pdf,The factorial analysis of human ability,1951,"Thomson, G. H.",
,data/intelligence_addon.pdf,Network psychometrics,2018,"S. Epskamp, G. Maris, L. J. Waldorp, D. Borsboom",
,10.1016/0001-6918(67)90011-X,Age differences in fluid and crystallized intelligence.,1967.0,j. horn r. cattell,
,10.1016/0160-2896(84)90008-4,A unifying model for the structure of intellectual abilities,1984.0,j. gustafsson,
,data/intelligence_addon.pdf,Correlation inequalities on some partially ordered sets,1971,"c. fortuin, p. w. kasteleyn, j. ginibre,",
,data/intelligence_addon.pdf,On the random-cluster model: III. The simple random-cluster model,1972,"c. fortuin,",
,data/intelligence_addon.pdf,The modularity of mind,1983,J. A. Fodor,
,10.1016/j.intell.2021.101581,Testing the structure of human cognitive ability using evidence obtained from the impact of brain lesions over abilities,2021.0,john protzko r. colom,
,data/intelligence_addon.pdf,Memory; A contribution to experimental psychology,1913,H. Ebbinghaus,
,data/intelligence_addon.pdf,On learning and human ability.,1954,"g. a. ferguson,",
,data/intelligence_addon.pdf,Über die statistik verketteter vorgänge [On the statistics of linked processes],1923,"F. Eggenberger, G. Pólya",
"On etudie une classe de modeles de variables latentes dans lesquels la variable latente est un scalaire, les variables observables sont independantes de facon conditionnelle etant donne la variable latente et la distribution conditionnelle des observables est stochastiquement croissante dans la variable latente etant donne celle-ci",data/intelligence_addon.pdf,Conditional Association and Unidimensionality in Monotone Latent Variable Models,1985,"p. holland, p. rosenbaum,",
"L'effet Mathieu, qui enonce que l'ecart entre bons et mauvais lecteurs s'accroit avec le temps, est generalement accepte en tant que modele descriptif du developpement du savoir-lire. Cette hypothese est de plus en plus invoquee pour expliquer que pour predire l'evolution du savoir-lire en fonction du temps. Les AA. presentent les resultats d'une etude longitudinale portant sur un echantillon d'enfants d'âge prescolaire suivis pendant 7 ans",data/intelligence_addon.pdf,A Matthew effect for IQ but not for reading : results from a longitudinal study,1995,"b. shaywitz, t. holford, j. holahan, j. fletcher, k. stuebing, d. francis, s. shaywitz,",
"We simulate the sorting of a mixture of two types of biological cells using a modified version of the large-Q Potts model with differential adhesivity. We find long-distance cell movement leading to sorting with a logarithmic increase in the length scale of homogeneous clusters. Sorted clusters then round. We find two successive phases: A rapid boundary-driven creation of a low-cohesivity cell monolayer around the aggregate, and a slower boundary-independent internal rearrangement.",data/intelligence_addon.pdf,Simulation of biological cell sorting using a two-dimensional extended Potts model.,1992,"françois graner, j. glazier,",
"The mutualism model, an alternative for the g-factor model of intelligence, implies a formative measurement model in which ""g"" is an index variable without a causal role. If this model is accurate, the search for a genetic of brain instantiation of ""g"" is deemed useless. This also implies that the (weighted) sum score of items of an intelligence test is just what it is: a weighted sum score. Preference for one index above the other is a pragmatic issue that rests mainly on predictive value.",data/intelligence_addon.pdf,Intelligence Is What the Intelligence Test Measures. Seriously,2014,"h. maas, k. kan, d. borsboom,",
"There is a lot of books, user manual, or guidebook that related to The Nature Of Human Intelligence PDF, such as : classical mechanics upadhyaya bond more third papers in non verbal reasoning 9 10 years fiesta mk4 manual a visit of charity origami insects dover origami papercraft robert j lang author powerone bdsm big magic creative living beyond fear the weaver of tomorrow and dawn strider two stories calculus finney demana waits kennedy 3rd edition mathematical models in population biology and epidemiology texts in applied mathematics",data/intelligence_addon.pdf,The nature of human intelligence.,1968,"john millar carroll, j. guilford,",
Chap. I. Introductory. PAGE I. Signs of Weakness in Experimental Psychology 202 2. The Cause of this Weakness 203 3. The Identities of Science 204 4. Scope of the Present Experiments 205 Chap. II. Historical and Critical I. History of Previous Researches 206 2. Conclusions to be drawn from these Previous Researches 219 3. Criticism of Prevalent Working Methods 222 Chap. III. Preliminary Investigation I. Obviation of the Four Faults Quoted 225 2. Definition of the Correspondence Sought 226 3. Irrelevancies from Practice 227 (a) Pitch 228,10.1037/H0065005,"General Intelligence, Objectively Determined and Measured.",,wm. r. wright,
"A pesar de la relativamente corta historia de la Psicologia como ciencia, existen pocos constructos psicologicos que perduren 90 anos despues de su formulacion y que, aun mas, continuen plenamente vigentes en la actualidad. El factor «g» es sin duda alguna uno de esos escasos ejemplos y para contrastar su vigencia actual tan solo hace falta comprobar su lugar de preeminencia en los modelos factoriales de la inteligencia mas aceptados en la actualidad, bien como un factor de tercer orden en los modelos jerarquicos o bien identificado con un factor de segundo orden en el modelo del recientemente desaparecido R.B.Cattell.",10.5860/choice.36-2443,The g Factor: The Science of Mental Ability,1998.0,a. jensen,
"Human intelligence is a puzzling concept. There is no consensus on the definition of intelligence, not even within specific fields that study intelligence, such as psychometrics. Within the latter, there are, for instance, major disputes over whether intelligence is one thing (a general ability) or multiple things. In our view, it is important to have a clear conception of what intelligence is. In this chapter we adhere to such a conception and present a formal model of psychometric intelligence. This model illuminates mechanisms that can explain some important and well replicated phenomena in the study of intelligence.",data/intelligence_addon.pdf,The Network Approach to General Intelligence,2019,"h.l.j. van der maas, a. o. savi, abe d. hofman, k. kan, m. marsman,",
"We propose a theory of development in which experience is directed by genotypes. Genotypic differences are proposed to affect phenotypic differences, both directly and through experience, via 3 kinds of genotype leads to environment effects: a passive kind, through environments provided by biologically related parents; an evocative kind, through responses elicited by individuals from others; and an active kind, through the selection of different environments by different people. The theory adapts the 3 kinds of genotype-environment correlations proposed by Plomin, DeFries, and Loehlin in a developmental model that is used to explain results from studies of deprivation, intervention, twins, and families.",data/intelligence_addon.pdf,How people make their own environments: a theory of genotype greater than environment effects.,1983,"s. scarr, k. mccartney,",
"This paper serves to update the structure-of-intellect (SOI) model. In addition to a previously indicated separation of the figural element of the content facet of the SOI model into visual and auditory components, the memory element within the operations facet has been differentiated into memory recording and memory retention. Research supporting these changes is cited. Thus the revised SOI model now contains five content properties termed visual, auditory, symbolic, semantic, and behavioral; six operations entitled cognition, memory recording, memory retention, divergent production, convergent production, and evaluation; and the same six products as formerly, named units, classes, relations, systems, transformations, and implications.",data/intelligence_addon.pdf,Some Changes in the Structure-of-Intellect Model,1988,"j. guilford,",
"Part I. Experimental Studies: 2. Experiment in psychology 3. Experiments on perceiving III Experiments on imaging 4-8. Experiments on remembering: (a) The method of description (b) The method of repeated reproduction (c) The method of picture writing (d) The method of serial reproduction (e) The method of serial reproduction picture material 9. Perceiving, recognizing, remembering 10. A theory of remembering 11. Images and their functions 12. Meaning Part II. Remembering as a Study in Social Psychology: 13. Social psychology 14. Social psychology and the matter of recall 15. Social psychology and the manner of recall 16. Conventionalism 17. The notion of a collective unconscious 18. The basis of social recall 19. A summary and some conclusions.",data/intelligence_addon.pdf,Remembering: A Study in Experimental and Social Psychology,1932,"f. bartlett,",
"Some argue that the high heritability of IQ renders purely environmental explanations for large IQ differences between groups implausible. Yet, large environmentally induced IQ gains between generations suggest an important role for environment in shaping IQ. The authors present a formal model of the process determining IQ in which people's IQs are affected by both environment and genes, but in which their environments are matched to their IQs. The authors show how such a model allows very large effects for environment, even incorporating the highest estimates of heritability. Besides resolving the paradox, the authors show that the model can account for a number of other phenomena, some of which are anomalous when viewed from the standard perspective.",data/intelligence_addon.pdf,Heritability estimates versus large environmental effects: the IQ paradox resolved.,2001,"w. dickens, j. flynn,",
"Psychology is focused on variation between cases (interindividual variation). Results thus obtained are considered to be generalizable to the understanding and explanation of variation within single cases (intraindividual variation). It is indicated, however, that the direct consequences of the classical ergodic theorems for psychology and psychometrics invalidate this conjectured generalizability: only under very strict conditions-which are hardly obtained in real psychological processes-can a generalization be made from a structure of interindividual variation to the analogous structure of intraindividual variation. Illustrations of the lack of this generalizability are given in the contexts of psychometrics, developmental psychology, and personality theory.",data/intelligence_addon.pdf,"A Manifesto on Psychology as Idiographic Science: Bringing the Person Back Into Scientific Psychology, This Time Forever",2004,"p. molenaar,",
"For more than a century, the standard view in the field of human intelligence has been that there is a “general intelligence” that permeates all human cognitive activity. This general cognitive ability is supposed to explain the positive manifold, the finding that intelligence tests with different content all correlate. Yet there is a lack of consensus regarding the psychological or neural basis of such an ability. A recent account, process-overlap theory, explains the positive manifold without proposing general intelligence. As a consequence of the theory, IQ is redefined as an emergent formative construct rather than a reflective latent trait. This implies that IQ should be interpreted as an index of specific cognitive abilities rather than the reflection of an underlying general cognitive ability.",data/intelligence_addon.pdf,What Is IQ? Life Beyond “General Intelligence”,2019,"kristóf kovács, andrew r. a. conway,",
"Learning is often considered complete when a student can produce the correct answer to a question. In our research, students in one condition learned foreign language vocabulary words in the standard paradigm of repeated study-test trials. In three other conditions, once a student had correctly produced the vocabulary item, it was repeatedly studied but dropped from further testing, repeatedly tested but dropped from further study, or dropped from both study and test. Repeated studying after learning had no effect on delayed recall, but repeated testing produced a large positive effect. In addition, students' predictions of their performance were uncorrelated with actual performance. The results demonstrate the critical role of retrieval practice in consolidating learning and show that even university students seem unaware of this fact.",data/intelligence_addon.pdf,The Critical Importance of Retrieval for Learning,2008,"jeffrey d. karpicke, h. roediger,",
"The indeterminacy of factor scores has been a perennial source of debate since the time of Spearman. The main purpose of this paper is to show that, in spite of his inadequate tools and concepts, Sir Godfrey Thomson's approach of 70 years ago was on the right lines. His thinking was constrained by the primitive state of his statistical understanding but it is illuminated by his substantial exchange of the correspondence with M. S. Bartlett in the 1930s, most of which has survived in the Godfrey Thomson archive at the University of Edinburgh. In order to justify our claim and clarify the issues, we have found it necessary to fill in some of the gaps in the original derivations of Spearman, Thomson and Bartlett and to express their work in terms which are intelligible today. The opportunity is taken to relate this earlier work to contemporary debates.",data/intelligence_addon.pdf,"The origin of factor scores: Spearman, Thomson and Bartlett.",2009,"d. bartholomew, i. deary, m. lawn,",
"In their original article (W. T. Dickens & J. R. Flynn, 2001), the authors formalized the consensus model of reciprocal effects between IQ and environment and showed that it can resolve the apparent paradox between high heritability and large environmental effects. Commentators suggested that the model has undesirable properties that call its usefulness into question. J. L. Loehlin (2002) argued that incorporating persistence of IQ into the model causes problematic behavior. D. C. Rowe and J. L. Rodgers (2002) argued that an increasing correlation of IQ and environment should have caused growing variance of IQ. Empirical evidence suggests that IQ is not sufficiently persistent to cause the problems Loehlin found and that the correlation of IQ and environment has not grown much over time so that the reciprocal effects model need not imply increasing variance.",data/intelligence_addon.pdf,The IQ paradox is still resolved: Reply to Loehlin (2002) and Rowe and Rodgers (2002),2002,"w. dickens, j. flynn,",
"In the last decade, new models of human intelligence have altered the theoretical landscape in psychometrics and cognitive science. In the current article, we provide an overview of key distinguishing features of these new models. Compared to 20th century models of intelligence, the new models proposed in the 21st century are unique for three primary reasons; (1) new models interpret the general factor, or g, as an emergent property reflecting the pattern of positive correlations observed among test scores, not as a causal latent variable, and therefore challenge the notion of general ability, (2) new models bridge correlational and experimental psychology and account for inter-individual differences in behavior in terms of intra-individual psychological processes, and (3) new models make novel predictions about the neural correlates of intelligent behavior.",data/intelligence_addon.pdf,New and emerging models of human intelligence.,2015,"andrew r. a. conway, kristóf kovács,",
"The Curie–Weiss model is an exactly solvable model of ferromagnetism that allows one to study thermodynamic functions in detail, in particular their properties near the critical temperature. In this model every magnetic moment interacts with every other magnetic moment. Because of its simplicity and the correctness of at least some of its predictions, the Curie–Weiss model occupies an important place in the statistical mechanics literature and its application to information theory. It is frequently presented as an introduction to the Ising model or to spin-glass models, and usually only general features of the Curie–Weiss model are presented. In this paper, we discuss the properties of this model in a rather detailed way. We present the exact, approximate and numerical results for this particular model. The exact expression for the limiting magnetic field is derived.",data/intelligence_addon.pdf,Curie–Weiss magnet—a simple model of phase transition,2013,"martin s. kochma'nski, t. paszkiewicz, s. wolski,",
"A core hypothesis in developmental theory predicts that genetic influences on intelligence and academic achievement are suppressed under conditions of socioeconomic privation and more fully realized under conditions of socioeconomic advantage: a Gene × Childhood Socioeconomic Status (SES) interaction. Tests of this hypothesis have produced apparently inconsistent results. We performed a meta-analysis of tests of Gene × SES interaction on intelligence and academic-achievement test scores, allowing for stratification by nation (United States vs. non–United States), and we conducted rigorous tests for publication bias and between-studies heterogeneity. In U.S. studies, we found clear support for moderately sized Gene × SES effects. In studies from Western Europe and Australia, where social policies ensure more uniform access to high-quality education and health care, Gene × SES effects were zero or reversed.",data/intelligence_addon.pdf,Large Cross-National Differences in Gene × Socioeconomic Status Interaction on Intelligence,2016,"e. tucker-drob, timothy c. bates,",
"Twentieth century theory formation in human intelligence was dominated by factor theories; network theories will dominate the twenty first. Network theories answer a broad call for formal theories in psychological science, provide a strong approach to an idiographic science, and create an opportunity to study the developmental mechanisms of human's cognitive dynamics. Although the current century already delivered two formal stationary network theories of human intelligence—mutualism and wired intelligence—integrating dynamic mechanisms remains a serious challenge. This challenge translates into clear priorities: the identification of robust developmental phenomena, the study of the mechanisms that drive these phenomena, the integration of these mechanisms into network theories of growth, the integration of network theories from different explanatory levels, and the empirical characterization of the structure of network theories.",10.31234/osf.io/shq87,Evolving Networks of Human Intelligence,2021.0,a. o. savi m. marsman h. v. d. van der maas,
"Cognitive development can be characterized by a sequence of increasingly complex rules or strategies for solving problems. Our work focuses on the development of children's proportional reasoning, assessed by the balance scale task using Siegler's (1976, 1981) rule assessment methodology. We studied whether children use rules, whether children of different ages use qualitatively different rules, and whether rules are used consistently. Nonverbal balance scale problems were administered to 805 participants between 5 and 19 years of age. Latent class analyses indicate that children use rules, that children of different ages use different rules, and that both consistent and inconsistent use of rules occurs. A model for the development of reasoning about the balance scale task is proposed. The model is a restricted form of the overlapping waves model (Siegler, 1996) and predicts both discontinuous and gradual transitions between rules.",data/intelligence_addon.pdf,The development of children's rule use on the balance scale task.,2002,"brenda r. j. jansen, h.l.j. van der maas,",
"The Matthew effect hypothesis provides a theoretical framework to describe the development of individual differences in reading ability. The model predicts an increase of individual differences in reading. Reciprocal relationships between reading and other factors seem to cause these increasing differences. This longitudinal study of 3 years was concerned with uncovering the existence and causes of increasing individual differences in reading in the early elementary grades. Data were analyzed within a structural equation modeling framework. The results clearly indicate increasing individual differences for word recognition skills. For reading comprehension, no such effects could be established for this limited time period. More important, some evidence for interactive relationships between reading and other cognitive skills, behaviors, and motivational factors, hypothesized to cause increasing differences between readers, was found.",data/intelligence_addon.pdf,Analyzing the development of individual differences in terms of Matthew effects in reading: results from a Dutch Longitudinal study.,1998,"j. bast, p. reitsma,",
"The positive manifold of intelligence has fascinated generations of scholars in human ability. In the past century, various formal explanations have been proposed, including the dominant g factor, the revived sampling theory, and the recent multiplier effect model and mutualism model. In this article, we propose a novel idiographic explanation. We formally conceptualize intelligence as evolving networks in which new facts and procedures are wired together during development. The static model, an extension of the Fortuin–Kasteleyn model, provides a parsimonious explanation of the positive manifold and intelligence’s hierarchical factor structure. We show how it can explain the Matthew effect across developmental stages. Finally, we introduce a method for studying growth dynamics. Our truly idiographic approach offers a new view on a century-old construct and ultimately allows the fields of human ability and human learning to coalesce.",10.1177/1745691619866447,The Wiring of Intelligence,2018.0,a. o. savi m. marsman h. v. d. van der maas g. maris,
"We present the qgraph package for R, which provides an interface to visualize data through network modeling techniques. For instance, a correlation matrix can be represented as a network in which each variable is a node and each correlation an edge; by varying the width of the edges according to the magnitude of the correlation, the structure of the correlation matrix can be visualized. A wide variety of matrices that are used in statistics can be represented in this fashion, for example matrices that contain (implied) covariances, factor loadings, regression parameters and p values. qgraph can also be used as a psychometric tool, as it performs exploratory and confirmatory factor analysis, using sem and lavaan; the output of these packages is automatically visualized in qgraph, which may aid the interpretation of results. In this article, we introduce qgraph by applying the package functions to data from the NEO-PI-R, a widely used personality questionnaire.",data/intelligence_addon.pdf,Qgraph: Network visualizations of relationships in psychometric data,2012,"s. epskamp, a. cramer, l. waldorp, v. schmittmann, d. borsboom,",
"ABSTRACT The most replicated result in the field of intelligence is the positive manifold, which refers to an all-positive pattern of correlations among diverse cognitive tests. The positive manifold is typically described by a general factor, or g. In turn, g is often identified as general intelligence, yet this explanation is contradicted by a number of results. Here we offer a new account of g: process overlap theory. According to the theory, cognitive tests tap domain-general executive processes, identified primarily in research on working memory, as well as more domain-specific processes. Executive processes are tapped in an overlapping manner across cognitive tests such that they are required more often than domain-specific ones. The theory provides an account of a number of findings on human intelligence. As well, it is formalized as a multidimensional item response model and as a structural model, and the neural mechanisms underlying the proposed overlapping processes are discussed.",10.1080/1047840X.2016.1153946,Process Overlap Theory: A Unified Account of the General Factor of Intelligence,2016.0,kristóf kovács andrew r. a. conway,
"This study examined the dynamics of cognitive abilities and academic achievement from childhood to early adulthood. Predictions about time-dependent ""coupling"" relations between cognition and achievement based on R. B. Cattell's (1971, 1987) investment hypothesis were evaluated using linear dynamic models applied to longitudinal data (N=672). Contrary to Cattell's hypothesis, a first set of findings indicated that fluid and crystallized abilities, as defined by the Woodcock-Johnson Psycho-Educational Battery-Revised (WJ-R; R. W. Woodcock & M. B. Johnson, 1989-1990), were not dynamically coupled with each other over time. A second set of findings provided support for the original predictions and indicated that fluid ability was a leading indicator of changes in achievement measures (i.e., quantitative ability and general academic knowledge). The findings of this study suggest that the dynamics of cognitive abilities and academic achievement follow a more complex pattern than that specified by Cattell's investment hypothesis.",data/intelligence_addon.pdf,An experimental analysis of dynamic hypotheses about cognitive abilities and achievement from childhood to early adulthood.,2004,"e. ferrer, j. mcardle,",
"Cronbach’s (1957) famous division of scientific psychology into two disciplines is still apparent for the fields of cognition (general mechanisms) and intelligence (dimensionality of individual differences). The welcome integration of the two fields requires the construction of mechanistic models of cognition and cognitive development that explain key phenomena in individual differences research. In this paper, we argue that network modeling is a promising approach to integrate the processes of cognitive development and (developing) intelligence into one unified theory. Network models are defined mathematically, describe mechanisms on the level of the individual, and are able to explain positive correlations among intelligence subtest scores—the empirical basis for the well-known g-factor—as well as more complex factorial structures. Links between network modeling, factor modeling, and item response theory allow for a common metric, encompassing both discrete and continuous characteristics, for cognitive development and intelligence.",10.3390/JINTELLIGENCE5020016,Network Models for Cognitive Development and Intelligence,2017.0,h.l.j. van der maas k. kan m. marsman c. stevenson,
"Scores on cognitive tasks used in intelligence tests correlate positively with each other, that is, they display a positive manifold of correlations. The positive manifold is often explained by positing a dominant latent variable, the g factor, associated with a single quantitative cognitive or biological process or capacity. In this article, a new explanation of the positive manifold based on a dynamical model is proposed, in which reciprocal causation or mutualism plays a central role. It is shown that the positive manifold emerges purely by positive beneficial interactions between cognitive processes during development. A single underlying g factor plays no role in the model. The model offers explanations of important findings in intelligence research, such as the hierarchical factor structure of intelligence, the low predictability of intelligence from early childhood performance, the integration/differentiation effect, the increase in heritability of g, and the Jensen effect, and is consistent with current explanations of the Flynn effect.",data/intelligence_addon.pdf,A dynamical model of general intelligence: the positive manifold of intelligence by mutualism.,2006,"h.l.j. van der maas, c. dolan, r. grasman, j. wicherts, h. huizenga, m. raijmakers,",
"Latent growth curve techniques and longitudinal data are used to examine predictions from the theory of fluid and crystallized intelligence (Gf-Gc theory; J. L. Horn & R. B. Cattell, 1966, 1967). The data examined are from a sample (N approximately 1,200) measured on the Woodcock-Johnson Psycho-Educational Battery-Revised (WJ-R). The longitudinal structural equation models used are based on latent growth models of age using two-occasion ""accelerated"" data (e.g., J. J. McArdle & R. Q. Bell, 2000; J. J. McArdle & R. W. Woodcock, 1997). Nonlinear mixed-effects growth models based on a dual exponential rate yield a reasonable fit to all life span cognitive data. These results suggest that most broad cognitive functions fit a generalized curve that rises and falls. Novel multilevel models directly comparing growth curves show that broad fluid reasoning (Gf) and acculturated crystallized knowledge (Gc) have different growth patterns. In all comparisons, any model of cognitive age changes with only a single g factor yields an overly simplistic view of growth and change over age.",10.1037/0012-1649.38.1.115,Comparative longitudinal structural analyses of the growth and decline of multiple intellectual abilities over the life span.,2002.0,j. mcardle emilio ferrer-caja f. hamagami r. woodcock,
"The Flynn effect (rising intelligence test performance in the general population over time and generations) varies enigmatically across countries and intelligence domains; its substantive meaning and causes remain elusive. This first formal meta-analysis on the topic revealed worldwide IQ gains across more than one century (1909–2013), based on 271 independent samples, totaling almost 4 million participants, from 31 countries. Key findings include that IQ gains vary according to domain (estimated 0.41, 0.30, 0.28, and 0.21 IQ points annually for fluid, spatial, full-scale, and crystallized IQ test performance, respectively), are stronger for adults than children, and have decreased in more recent decades. Altogether, these findings narrow down proposed theories and candidate factors presumably accounting for the Flynn effect. Factors associated with life history speed seem mainly responsible for the Flynn effect’s general trajectory, whereas favorable social multiplier effects and effects related to economic prosperity appear to be responsible for observed differences of the Flynn effect across intelligence domains.",data/intelligence_addon.pdf,One Century of Global IQ Gains,2015,"j. pietschnig, m. voracek,",
