Unnamed: 0.1,Unnamed: 0,Author,Title,Publication Year,Abstract Note,SOURCE,Abstract Note Length
10,86,"J. L. Horn, J. Noll",A system for understanding cognitive capabilities: A theory and evidence on which it is based,1994,,data/mutualism.pdf --> https://onlinelibrary.wiley.com/doi/full/10.1002/9781118660584.ese0431,0
11,84,a. jensen,Regularities in Spearman's Law of Diminishing Returns,2003,"The lower average correlations among mental tests in groups of individuals of above-average IQ compared to those found in groups of individuals of below-average IQ implies a smaller general factor, or g, in the higher-IQ group, a phenomenon C. E. Spearman called the 'Law of Diminishing Returns'. This phenomenon was confirmed in six independent data sets based on three different test batteries (Wechsler Intelligence Scale for Children--Revised; Wechsler Adult Intelligence Scale--Revised; Spearman battery). It implies that psychometric g is less general in persons of high IQ and more general among those of low IQ. Two heretofore unknown effects were revealed consistently: (1) The g loadings of the various tests in a battery do not differ uniformly or randomly between high- and low-IQ groups; rather, the loadings are much more variable for higher-IQ samples than for lower-IQ samples; (2) Those tests in a battery that are less g-loaded (where g loadings are based on the general population) consistently show greater decrements in their g loadings between low- and high-IQ groups than do the more highly g-loaded tests, which show relatively little difference between low- and high-IQ groups.",data/mutualism.pdf --> http://arthurjensen.net/wp-content/uploads/2014/06/Regularities-in-Spearmans-Law-of-Diminishing-Returns-2003-by-Arthur-Robert-Jensen.pdf,0
12,59,e. hunt,Human Intelligence: List of Tables,2010,,10.1017/CBO9780511781308 --> https://books.google.com/books/about/Human_Intelligence.html?id=DwO4TtKAiCoC,0
13,82,r. cattell,"Abilities: Their structure, growth, and action",1971,,data/mutualism.pdf --> https://gwern.net/doc/iq/1971-cattell-abilitiestheirstructuregrowthaction.pdf,0
14,61,J. J. Gibson,The ecological approach to visual perception,1986,"This book, first published in 1979, is about how we see: the environment around us (its surfaces, their layout, and their colors and textures); where we are in the environment; whether or not we are moving and, if we are, where we are going; what things are good for; how to do things (to thread a needle or drive an automobile); or why things look as they do. The basic assumption is that vision depends on the eye which is connected to the brain. The author suggests that natural vision depends on the eyes in the head on a body supported by the ground, the brain being only the central organ of a complete visual system. When no constraints are put on the visual system, people look around, walk up to something interesting and move around it so as to see it from all sides, and go from one vista to another. That is natural vision -- and what this book is about.",data/mutualism.pdf --> https://www.taylorfrancis.com/books/mono/10.4324/9781315740218/ecological-approach-visual-perception-james-gibson,0
15,81,L. S. Gottfredson,The general intelligence factor,1998,"No subject in psychology has pro- voked more intense public controversy than the study of human intelligence. From its beginning, research on how and why people differ in overall mental ability has fallen prey to political and social agendas that obscure or distort even the most well-established scientific findings. Journalists, too, often present a view of intelligence research that is exactly the opposite of what most intel- ligence experts believe. For these and other reasons, public understanding of intelligence falls far short of public con- cern about it. The IQ experts discussing their work in the public arena can feel as though they have fallen down the rabbit hole into Alice’s Wonderland. The debate over intelligence and intelligence testing focuses on the ques- tion of whether it is useful or meaning- ful to evaluate people according to a single major dimension of cognitive competence. Is there indeed a general mental ability we commonly call “intel- ligence,” and is it important in the prac- tical affairs of life? The answer, based on decades of intelligence research, is an unequivocal yes. No matter their form or content, tests of mental skills invari- ably point to the existence of a global factor that permeates all aspects of cog- nition. And this factor seems to have considerable influence on a person’s practical quality of life. Intelligence as measured by IQ tests is the single most effective predictor known of individual performance at school and on the job. It also predicts many other aspects of well- being, including a person’s chances of divorcing, dropping out of high school, being unemployed or having illegitimate children. By now the vast majority of intelli- gence researchers take these findings for granted. Yet in the press and in public debate, the facts are typically dismissed, downplayed or ignored. This misrepresen- tation reflects a clash between a deeply felt ideal and a stubborn reality. The ideal, implicit in many popular critiques of intelligence research, is that all people are born equally able and that social inequali- ty results only from the exercise of unjust privilege. The reality is that Mother Nature is no egalitarian. People are in fact unequal in intellectual potential—and they are born that way, just as they are born with different potentials for height, physical attractiveness, artistic flair, ath- letic prowess and other traits. Although subsequent experience shapes this poten- tial, no amount of social engineering can make individuals with widely divergent mental aptitudes into intellectual equals. Of course, there are many kinds of talent, many kinds of mental ability and many other aspects of personality and character that influence a person’s chances of happiness and success. The functional importance of general mental ability in everyday life, however, means that without onerous restrictions on individual liberty, differences in mental competence are likely to result in social inequality. This gulf between equal opportunity and equal outcomes is per- haps what pains Americans most about the subject of intelligence. The public intuitively knows what is at stake: when asked to rank personal qualities in order of desirability, people put intelligence second only to good health. But with a more realistic approach to the intellectual differences between people, society could better accommodate these differences and minimize the inequalities they create. Extracting g Early in the century-old study of intelligence, researchers discovered that all tests of mental ability ranked individ- uals in about the same way. Although mental tests are often designed to mea- sure specific domains of cognition—ver- bal fluency, say, or mathematical skill, spatial visualization or memory—people who do well on one kind of test tend to do well on the others, and people who do poorly generally do so across the board. This overlap, or intercorrelation, suggests that all such tests measure some global element of intellectual abil- ity as well as specific cognitive skills. In recent decades, psychologists have devoted much effort to isolating that general factor, which is abbreviated g, from the other aspects of cognitive abili- ty gauged in mental tests. The statistical extraction of g is per- formed by a technique called factor analysis. Introduced at the turn of the century by British psychologist Charles Spearman, factor analysis determines the minimum number of underlying dimen- sions necessary to explain a pattern of correlations among measurements. A general factor suffusing all tests is not, as is sometimes argued, a necessary out- come of factor analysis. No general factor has been found in the analysis of per- sonality tests, for example; instead the method usually yields at least five dimen- sions (neuroticism, extraversion, consci- entiousness, agreeableness and openness to ideas), each relating to different sub- sets of tests. But, as Spearman observed, a general factor does emerge from analy- sis of mental ability tests, and leading psychologists, such as Arthur R. Jensen of the University of California at Berkeley and John B. Carroll of the University of North Carolina at Chapel Hill, have con- firmed his findings in the decades since. Partly because of this research, most intel- ligence experts now use g as the working definition of intelligence. The general factor explains most differences among individuals in perfor- mance on diverse mental tests. This is Human Intelligence",data/mutualism.pdf --> https://www1.udel.edu/educ/gottfredson/reprints/1998generalintelligencefactor.pdf,0
16,64,H. Gardner,Frames of mind: The theory of multiple intelligences,1983,"First published in 1983 and now available with a new introduction by the author, Gardner's trailblazing book revolutionized the worlds of education and psychology by positing that rather than a single type of intelligence, we have several- most of which are neglected by standard testing and educational methods.",data/mutualism.pdf --> https://www.amazon.nl/-/en/Howard-Gardner/dp/0465024335,0
17,80,thomas m. brooks elizabeth kennedy,Conservation biology: Biodiversity barometers,2004,"Although we need to be able to measure progress (or lack thereof) towards the 2010 target, the more pressing need is to ensure funding and implementation of those conservation activities needed to actually achieve a significant reduction in the rate of biodiversity loss. Ultimately, an improvement in the Red List Index will require urgent investment in the conservation of species facing a high risk of extinction and of the habitats where they occur",data/mutualism.pdf --> https://pubmed.ncbi.nlm.nih.gov/15510132/,0
18,74,"Diamond, J.","Guns, germs, and steel: The fates of human societies",1997,"The prologue opens with an account of Diamond's conversation with Yali, a New Guinean politician. The conversation turned to the obvious differences in power and technology between Yali's people and the Europeans who dominated the land for 200 years, differences that neither of them considered due to any genetic superiority of Europeans. Yali asked, using the local term ""cargo"" for inventions and manufactured goods, ""Why is it that you white people developed so much cargo and brought it to New Guinea, but we black people had little cargo of our own?""[2]: 14   Diamond realized the same question seemed to apply elsewhere: ""People of Eurasian origin ... dominate ... the world in wealth and power."" Other peoples, after having thrown off colonial domination, still lag in wealth and power. Still others, he says, ""have been decimated, subjugated, and in some cases even exterminated by European colonialists.""[2]: 15   The peoples of other continents (sub-Saharan Africans, Indigenous people of the Americas, Aboriginal Australians, New Guineans, and the original inhabitants of tropical Southeast Asia) have been largely conquered, displaced and in some extreme cases – referring to Native Americans, Aboriginal Australians, and South Africa's indigenous Khoisan peoples – largely exterminated by farm-based societies such as Eurasians and Bantu. He believes this is due to these societies' technological and immunological advantages, stemming from the early rise of agriculture after the last ice age.",data/mutualism.pdf,0
19,73,j. carroll,The Three-Stratum Theory of Cognitive Abilities.,1997,"The three-stratum theory is a theory of cognitive ability proposed by the American psychologist John Carroll in 1993.[1][2] It is based on a factor-analytic study of the correlation of individual-difference variables from data such as psychological tests, school marks and competence ratings from more than 460 datasets. These analyses suggested a three-layered model where each layer accounts for the variations in the correlations within the previous layer.  The three layers (strata) are defined as representing narrow, broad, and general cognitive ability. The factors describe stable and observable differences among individuals in the performance of tasks. Carroll argues further that they are not mere artifacts of a mathematical process, but likely reflect physiological factors explaining differences in ability (e.g., nerve firing rates). This does not alter the effectiveness of factor scores in accounting for behavioral differences.  Carroll proposes a taxonomic dimension in the distinction between level factors and speed factors. The tasks that contribute to the identification of level factors can be sorted by difficulty and individuals differentiated by whether they have acquired the skill to perform the tasks. Tasks that contribute to speed factors are distinguished by the relative speed with which individuals can complete them. Carroll suggests that the distinction between level and speed factors may be the broadest taxonomy of cognitive tasks that can be offered. Carroll distinguishes his hierarchical approach from taxonomic approaches such as Guilford's Structure of Intellect model (three-dimensional model with contents, operations, and products).",data/mutualism.pdf,0
20,69,s. ceci,On intelligence - more or less : a bio-ecological treatise on intellectual development,1990,Stephen Ceci argues that traditional conceptions of intelligence ignore the role of society in shaping intelligence and underestimate the intelligence of non-Western societies. He puts forth a “bio-ecological” framework of individual differences in intellectual development that is intended to address some of the major deficiencies of extant theories of intelligence. The focus is on alternative interpretations of phenomena that emerge when implicit assumptions of intelligence researchers are challenged.,data/mutualism.pdf --> https://www.hup.harvard.edu/catalog.php?isbn=9780674634565,0
21,70,h. eysenck,Thomson's 'bonds' or Spearman's 'energy': sixty years on,1987,"The author examines the relative merits of the Binet-Thomson-Guilford theories of intelligence and Spearman's theory of intelligence as"" enerp""'This latter was compatible with Galton's concept of general intelligence as a primarily biological and genetically transmissable reality. Almost from the beginning of the scientific study of human intelligence, there has been an interesting bifurcation, identified with the names and views of Sir Francis Galton and Alfred Binet (Eysenck, 1985, 1986). For Galton, general intelligence was a meaningful concept, based on biological reality, whereas for Binet it was a statistical artefact, nothing more than the average of a number of semi-independent faculties. Galton stressed the genetic side, Binet the educational and environ-mental. Last but not least, Galton looked for physiological methods of measurement, instancing reaction time among others, whereas Binet used tasks involving problem solving, learning, memory, etc. As has been well documented (Eysenck, 1979; Vernon, 1979), Binet's methods of measurement were almost universally adopted, and his general views were very widely accepted, particularly in the United States; psychologists in the United Kingdom were more sympathetic to Galton-type ideas. In recent years, there has been a revolution in this field, based on experimental studies of reaction time and evoked potentials as measures of intelligence (Eysenck, 1983), and these studies may cause a reappraisal of the whole situation (Eysenck & Barrett, 1985). A new"" model for intelligence""(Eysenck, 1982) seems likely to emerge from these upheavals. In this paper an attempt will be made to assess to which extent these recent findings are relevant to another theoretical bifurcation, not unrelated to that mentioned above, namely that between the Thorndike-Thomson theory of bonds (Thorn-dike, Bregman, and Cobb, 1927; Thomson, 1951), and Spear-man's theory of"" energy""(Spearman, 1927). These two causal theories were put forward in an attempt to explain certain agreed observations in the psychometric field, namely that correlations between cognitive tests were almost universally positive ("" positive manifold""), and the resulting matrices tend-ed to have a low rank, possibly rank one. Spearman argued that THE MANKIND QUARTERLY these facts supported his theory of a general factor of intelli-gence ("" g""), whereas Thomson put forward an alternative view which argued that the mind had little structure and that similar psychometric effects would be manifested if"" we have a causal background comprising innumerable bonds, and if any measure-ments we make can be influenced by any sample of that back-ground, one measurement by this sample and another by that, all samples being possible; and if we choose a number of dif-ferent measurements and find their intercorrelations, the matrix of these intercorrelations will tend to be hierarchical, or at least tend to have a low reduced rank""(Thomson, 1951: p. 271). As he also points out, this is nothing to do with the mind: it is simply a mathematical necessity, whatever the material used to illustrate it. These two alternative views had their origin already much earlier (Spearman, 1904; Thomson, 1916, 1919, 1927, 1935), and they attracted much attention. Mathematicians tended to side with Thomson (Bartlett, 1937, McDonald, 1967; Mackie, 1928), and more recently Maxwell (1972), who made an attempt to resurrect Thomson's theory. It may at once be said that psychometrically it is impossible to decide between the two theories",data/mutualism.pdf,0
22,26,r. sternberg,The Triarchic Mind: A New Theory of Human Intelligence,1988,"Psychologist Sternberg explains the evolution of theories of intelligence and introduces within this historical context his own theory. His theory invokes components of three kinds: metacomponents--processes involved in planning, monitoring, and evaluating problem-solving activities; performance components--lower-order processes put into play to implement commands of the metacomponents; and knowledge acquisition components--activities instrumental in learning how to solve problems. Sternberg defines intelligence as mental self-management and shows how it is used both in day-to-day problem-solving and in the world of executive decisionmaking, and how it can be nurtured at any age. Sternberg criticizes both traditional notions of intelligence and intelligence tests.",data/mutualism.pdf --> https://www.amazon.nl/Triarchic-Mind-Theory-Human-Intelligence/dp/0140092102,0
23,25,"G. H. Lubke, C. V. Dolan, H. Kelderman",Investigating group,2001,"Investigates the validity of inferences made by A. R. Jensen's method with respect to group differences in general intelligence and compares this to the validity of inferences based on multi-group confirmatory factor analysis. For this comparison, population covariance matrices are constructed which incorporate violations of the central assumption underlying Jensen's method for investigating group differences in cognitive tests concerning the existence of g (""general intelligence factor') and/or violations of Spearman's Hypothesis. This hypothesis states that mean differences between blacks and whites on cognitive tests are a function of the tests' g-loadings: tests with higher loadings show larger mean differences than tests with low loadings. The authors demonstrate that Jensen's method is quite insensitive to the violations of Spearman's Hypothesis. This lack of specificity is observed consistently for all types of violations introduced in the present study. Multi-group confirmatory factor analysis emerges as clearly superior to Jensen's method.",data/mutualism.pdf --> https://research.vu.nl/en/publications/de1e43cc-d4f2-42ea-9299-f5f0a68f7fd0,0
24,72,"Bruno, J. F., Stachowicz, J. J., & Bertness, M. D.",Inclusion of,2003,"Investigations of the role of competition, predation and abiotic stress in shaping natural communities were a staple for previous generations of ecologists and are still popular themes. However, more recent experimental research has uncovered the largely unanticipated, yet striking influence of facilitation (i.e. positive species interactions) on the organization of terrestrial and aquatic communities. Modern ecological concepts and theories were well established a decade before the current renaissance of interest in facilitation began, and thus do not consider the importance of a wide variety of facilitative interactions. It is time to bring ecological theory up to date by including facilitation. This process will not be painless because it will fundamentally change many basic predictions and will challenge some of our most cherished paradigms. But, ultimately, revising ecological theory will lead to a more accurate and inclusive understanding of natural communities.",data/mutualism.pdf,0
25,4,"R. S. Siegler, M. W. Alibali",Children’s thinking,2005,,data/mutualism.pdf --> https://www.bol.com/nl/nl/f/children-s-thinking/30138529/,0
26,2,C. Spearman,The abilities of man: Their nature and measurement,1927,"To begin with, a few lines may be useful to mark out the topic which we are going to consider, and to indicate how this fits into the general order of things. A person is aware of himself as existing in the midst of an external world—or at least, so it seems to him. He not only perceives this world and himself, but also thinks about both. As a single word to include the processes of both the perceiving and the thinking, modern psychology employs “ cognition.” But what he thus perceives and thinks about the world and himself, as also about the relations between the two, excites in him activities and states of another kind, such as appetites, aversions, impulses, decisions, voluntary actions, pleasure, sorrow, and so forth. All these, to distinguish them from the cognitive processes, are called “ conative ” and “ affective,” that is to say, striving and feeling. Take as an example the following description from Oliver Twist: “So you wanted to get away, my dear, did you?” said the Jew, taking up a jagged and knotted club which lay in a corner of the fireplace; “ Eh? ” Oliver I 2 THE ABILITIES OF MAN made no reply. But he watched the Jew’s motions, and breathed quickly. ‘ Wanted to get assistance; called for the police; did you?” sneered the Jew, catching the boy by the arm. “ We'll cure you of that, my young master.” The Jew inflicted a smart blow on Oliver’s shoulders with the club; and was raising it for a second, when the girl, rushing forward, wrested it from his hand. She flung it into the fire with a force that brought some of the glowing coals whirling out into the room. “I won’t stand by and see it done, Fagin,” cried the girl. ‘You’ve got the boy, and what more would you have? Let him be—let him be—or I shall put that mark on some of you that will bring me to the gallows before my time.” Here is a typical picture of human mental life in one of its most acute phases. Observe how readily and naturally it agrees with the foregoing classification of processes. Fagin sees Oliver, remembers his attempt to escape, thinks of — punishing him, notices his club, marks the boy shrinking away and breathing quickly, perceives him stagger under the blow, hears his agonized whimper, foresees his better obedience in the future, and has the idea of enforcing thelesson with a second blow—all this and suchlike it is that the term “cognition”? has been coined to include. But Fagin also becomes angry at what the boy has done, enter- tains a desire to punish him, relishes the anticipation of his writhing in pain, seizes voluntarily the club and actually uses it—all such processes as these characteristically involve conation and affection. Now, the present volume is primarily concerned with a person’s ability to “ cognise.”” And we must at once demur —it is the chief reason for prefixing this little chapter—to an objection rather in vogue at the present day, which, if admitted, would cut the ground from beneath our feet. This consists in asserting that the processes of cognition cannot possibly be treated apart from those of conation and affection,seeing that all these are but inseparable aspects in the in- THE PROBLEM 3 stincts and behaviour of a single individual, who himself, as the very name implies, is essentially indivisible. To this protest—borrowed from metaphysics—we may reply that certainly an individual cannot be broken up into independent pieces. But no less certainly the various aspects of his behaviour can and must be submitted to separate consideration. Every science whatever, physical no less than psychological, is obliged to dissect its subject- matter, to deal with the different aspects of it in succession, and finally to bring each of these into relation with all the rest. Only by first dividing can the scientist eventually conquer. In general, a person’s total cognitive ability may be re- garded as an instrument or organ at the disposal of any of his conative activities. It is this organ, then, that we are principally about to examine, and with especial reference to its variations of efficiency from one individual to another. The conative activities will only be brought within our scope to the extent that is needful to explain the working of the organ. But even this much will involve treating these activities in a far more fundamental manner than is usual in books on human ability",data/mutualism.pdf --> https://www.nature.com/articles/120181a0,0
27,3,c. spearman,General intelligence Objectively Determined and Measured,1904,"Determined the connection between psychical tendencies and, that between 'mental tests' and psychical activities of greater generality and interest, on the basis of correlation. A critical review of previous and present studies showed that no conclusive results could be obtained. Experiments were confined to testing the sensory discrimination of hearing, sight and touch, using the monochord, a graduated series of colored cards, and a graduated series of weights constructed on Galton's cartridge pattern, respectively, for the three conditioned. Five series of experiments were conducted involving varying number of Ss. The results indicated that all branches of intellectual activity possess in common one fundamental function, whereas the remaining or specific elements of the activity seem to be wholly different from that in all the others. In adult life no difference between the two sexes was observed.",data/mutualism.pdf --> https://www.jstor.org/stable/1412107,0
28,17,p. molenaar,State Space Techniques in Structural Equation Modeling Transformation of latent variables in and out of latent variable models,2003,"In this chapter a first encounter is presented with the relationship between state-space models and structural equation models. This will provide the opportunity to introduce these types of models in a leisurely fashion. To wit, many details will have to be neglected in this way of presentation, but these will be introduced at appropriate places later on. It is noted that some aspects of this relationship have been addressed in the published literature. MacCallum & Ashby (1986) discuss the relationships between linear systems theory and covariance structure modeling. Perhaps the first paper is due to Priestley & Subba Rao (1975), who rewrite the regression estimator (predictor) of factor scores in a standard factor model as a special instance of the Kalman filter (to be defined shortly) associated with a linear state-space model. In what follows I will present the result originally obtained by Priestley & Subba Rao, using a different derivation which, I think, is a bit more straightforward. Bold-face lower-case letters denote column vectors, while bold-face upper-case letters denote matrices",data/mutualism.pdf --> https://quantdev.ssri.psu.edu/sites/qdev/files/StateSpaceTechniques.pdf,0
29,5,J. R. Schott,Matrix analysis for statistics,1997,"in this chapter, we review some of the basic operations and fundamental properties involved in matrix algebra. In most cases, properties will be stated without proof, but in some cases, when instructive, proofs will be presented. We end the chapter with a brief discussion of random variables and random vectors, expected values of random variables, and some important distributions encountered elsewhere in the book.",data/mutualism.pdf --> http://ndl.ethernet.edu.et/bitstream/123456789/29770/1/James%20R.%20Schott_2017.pdf,0
30,15,J. D. Murray,Mathematical biology: I. An introduction,2002,,data/mutualism.pdf --> https://link.springer.com/book/10.1007/b98868,0
31,20,R. M. May,Theoretical ecology: Principles and applications,1975,,data/mutualism.pdf --> https://www.amazon.com/Theoretical-Ecology-Applications-Robert-May/dp/0199209995,0
32,1,j. sprott,Competition with evolution in ecology and finance,2004,"A variant of the multi-species Lotka–Volterra model is studied in which species competing for fixed finite resources are replaced by new randomly chosen species whenever they become extinct. The model exhibits chaos, punctuated equilibria, leptokurtosis, and self-organized criticality. It has application to ecology, finance, and possibly other diverse systems.",data/mutualism.pdf --> https://sprott.physics.wisc.edu/pubs/paper285.pdf,0
33,11,S. Reichard,Mental organization and age level,1944,,data/mutualism.pdf --> https://www.amazon.nl/Mental-Organization-Level-Classic-Reprint/dp/1333811691,0
34,22,"R. Lynn, T. Vanhanen",IQ and the wealth of nations,2002,"IQ and the Wealth of Nations is a 2002 book by psychologist Richard Lynn and political scientist Tatu Vanhanen.[1] The authors argue that differences in national income (in the form of per capita gross domestic product) are correlated with differences in the average national intelligence quotient (IQ). They further argue that differences in average national IQs constitute one important factor, but not the only one, contributing to differences in national wealth and rates of economic growth.  The book has drawn widespread criticism from other academics. Critiques have included questioning of the methodology used, the incompleteness of the data, and the conclusions drawn from the analysis.[2][3] The 2006 book IQ and Global Inequality is a follow-up to IQ and the Wealth of Nations by the same authors.  Outline The book includes the authors' calculation of average IQ scores for 60 countries, based on their analysis of published reports. It reports their observation that national IQ correlates with gross domestic product per capita at 0.82, and with the rate of economic growth from 1950 to 1990 at 0.64.  The authors believe that average IQ differences between nations are due to both genetic and environmental factors. They also believe that low GDP can cause low IQ, just as low IQ can cause low GDP. (See Positive feedback).  The authors write that it is the ethical responsibility of rich, high-IQ nations to assist poor, low-IQ nations financially, as it is the responsibility of rich citizens to assist the poor. wikipedia",data/mutualism.pdf --> https://en.wikipedia.org/wiki/IQ_and_the_Wealth_of_Nations,0
35,6,m. scheffer,Ecology of Shallow Lakes,1997,,data/mutualism.pdf --> https://link.springer.com/book/10.1007/978-1-4020-3154-0,0
36,13,"Plomin, R.",The genetics of gin human and mouse,2001,"The g factor refers to the substantial overlap that exists between individual differences in diverse cognitive processes in humans. In this article, I argue that a mouse model of g could provide a powerful analytic tool for exploring cognitive processes that are linked functionally by genes.",data/mutualism.pdf --> https://pubmed.ncbi.nlm.nih.gov/11252993/,292
37,100,d. rogosa,A critique of cross-lagged correlation,1980,"Comments that cross-lagged correlation (CLC) is not a useful procedure for the analysis of longitudinal panel data. In particular, the difference between CLCs is not a sound basis for causal inference. Demonstrations of the failure of CLC are based mainly on results for the 2-wave, 2-variable longit",data/mutualism.pdf,300
