Author,Title,Publication Year,Abstract Note,SOURCE
s. m. gaddis,An Introduction to Audit Studies in the Social Sciences,2017,"An audit study is a specific type of field experiment primarily used to test for discriminatory behavior when survey and interview questions induce social desirability bas. In this chapter, I first review the language and definitions related to audit studies and encourage adoption of a common language. I then discuss why researchers use the audit method as well as when researchers can and should use this method. Next, I give an overview of the history of audit studies, focusing on major developments and changes in the overall body of work. Finally, I discuss the limitations of correspondence audits and provide some thoughts on future directions. Keywords Audit studies Correspondence audits Discrimination Field experiments",10.1007/978-3-319-71153-9_1 --> https://link.springer.com/chapter/10.1007/978-3-319-71153-9_1
"gabriele paolacci, jesse j. chandler, panagiotis g. ipeirotis,",Running Experiments on Amazon Mechanical Turk,2010,"Although Mechanical Turk has recently become popular among social scientists as a source of experimental data, doubts may linger about the quality of data provided by subjects recruited from online labor markets. We address these potential concerns by presenting new demographic data about the Mechanical Turk subject population, reviewing the strengths of Mechanical Turk relative to other online and offline methods of recruiting subjects, and comparing the magnitude of effects obtained using Mechanical Turk and traditional subject pools. We further discuss some additional benefits such as the possibility of longitudinal, cross cultural and prescreening designs, and offer some advice on how to best manage a common subject pool.",data/audit.pdf
jesse j. chandler pam mueller gabriele paolacci,Nonnaïveté among Amazon Mechanical Turk workers: Consequences and solutions for behavioral researchers,2013,"Crowdsourcing services—particularly Amazon Mechanical Turk—have made it easy for behavioral scientists to recruit research participants. However, researchers have overlooked crucial differences between crowdsourcing and traditional recruitment methods that provide unique opportunities and challenges. We show that crowdsourced workers are likely to participate across multiple related experiments and that researchers are overzealous in the exclusion of research participants. We describe how both of these problems can be avoided using advanced interface features that also allow prescreening and longitudinal data collection. Using these techniques can minimize the effects of previously ignored drawbacks and expand the scope of crowdsourcing as a tool for psychological research.",10.3758/s13428-013-0365-7 --> https://link.springer.com/article/10.3758/s13428-013-0365-7
david johnson j. ryan,Amazon Mechanical Turk workers can provide consistent and economically meaningful data,2018,"We explore the consistency of the characteristics of individuals who participate in studies posted on Amazon Mechanical Turk (AMT). The primary individuals analyzed in this study are subjects who participated in at least two of eleven experiments that were run on AMT between September of 2012 to January of 2018. We demonstrate subjects consistently report a series of demographic and personality characteristics. Further, subjective willingness to take risk is found to be significantly correlated with decisions made in a simple lottery experiment with real stakes - even when the subjective risk measure is reported months, sometimes years, in the past. This suggests the quality of data obtained via AMT is not significantly harmed by the lack of control over the conditions under which the responses are recorded.",10.1002/SOEJ.12451
"panagiotis g. ipeirotis,",Demographics of Mechanical Turk,2010,"We present the results of a survey that collected information about the demographics of participants on Amazon Mechanical Turk, together with information about their level of activity and motivation for working on Amazon Mechanical Turk. We find that approximately 50% of the workers come from the United States and 40% come from India. Country of origin tends to change the motivating reasons for workers to participate in the marketplace. Significantly more workers from India participate on Mechanical Turk because the online marketplace is a primary source of income, while in the US most workers consider Mechanical Turk a secondary source of income. While money is a primary motivating reason for workers to participate in the marketplace, workers also cite a variety of other motivating reasons, including entertainment and education.",data/audit.pdf
ronnie jia zachary r. steelman b. reich,"Using Mechanical Turk Data in IS Research: Risks, Rewards, and Recommendations",2017,": With the increasing use of crowdsourced data in behavioral research fields, it is important to examine their appropriateness and desirability for IS research. Extending recent work in the IS literature, this tutorial discusses the risks and rewards of using data gathered on Amazon’s Mechanical Turk. We examine the characteristics of MTurk workers and the resulting method biases that may be exacerbated in MTurk data. Based on this analysis, we present a 2x2 matrix to illustrate the categories of IS research questions that are and are not amenable to MTurk data. We suggest that MTurk data is more appropriate for generalizing studies that examine diverse cognition than for contextualizing studies or those involving shared cognition. Finally, we offer a set of practical recommendations for researchers who wish to collect data on MTurk.",10.17705/1cais.04114
"a. berinsky, g. huber, gabriel s. lenz,",Evaluating Online Labor Markets for Experimental Research: Amazon.com's Mechanical Turk,2012,"We examine the trade-offs associated with using Amazon.com's Mechanical Turk (MTurk) interface for subject recruitment. We first describe MTurk and its promise as a vehicle for performing low-cost and easy-to-field experiments. We then assess the internal and external validity of experiments performed using MTurk, employing a framework that can be used to evaluate other subject pools. We first investigate the characteristics of samples drawn from the MTurk population. We show that respondents recruited in this manner are often more representative of the U.S. population than in-person convenience samples—the modal sample in published experimental political science—but less representative than subjects in Internet-based panels or national probability samples. Finally, we replicate important published experimental work using MTurk samples.",data/audit.pdf
y. lee yong-won seo enno siemsen,Running Behavioral Operations Experiments Using Amazon's Mechanical Turk,2017,"Mechanical Turk (MTurk), an online labor market run by Amazon, provides a platform for conducting behavioral experiments; the site offers immediate and inexpensive access to a large global subject pool. In this paper, we review recent research about MTurk and test the validity of using MTurk for experiments in behavioral operations management. We used subjects from MTurk to replicate the experiments in Bolton and Katok (2008), Engelbrecht-Wiggans and Katok (2008), Loch and Wu (2008), and Bolton, Ockenfels and Thonemann (2012). Our results are similar to the originals, but we also document some important differences. MTurk appears to be an important and relevant tool for researchers in behavioral operations, but we caution researchers to restrict use of this subject pool to experiments involving short-lived stimuli and behavioral manipulations.",10.2139/ssrn.2972406
"n. jacquemet, constantine yannelis,",Indiscriminate Discrimination: A Correspondence Test for Ethnic Homophily in the Chicago Labor Market,2011,"Numerous field experiments have demonstrated the existence of discrimination in labor markets against specific minority groups. This paper uses a correspondence test to determine whether this discrimination is due to prejudice against specific groups, or a general preference for the majority group. Three groups of identical fabricated resumes are sent to help-wanted advertisements in Chicago newspapers: one with Anglo-Saxon names, one with African-American names, and one with fictitious foreign names whose ethnic origin is unidentifiable to most Americans. Resumes with Anglo-Saxon names generate nearly one third more call-backs than identical resumes with non Anglo-Saxon ones, either African-American or Foreign. We take this as evidence that discriminatory behavior is part of a larger pattern of unequal treatment of any member of non-majority groups, ethnic homophily.",data/audit.pdf
"corrado giulietti, m. tonin, michael vlassopoulos,",Racial Discrimination in Local Public Services: A Field Experiment in the US,2015,"Discrimination in access to public services can act as a major obstacle towards addressing racial inequality. We examine whether racial discrimination exists in access to a wide spectrum of public services in the US. We carry out an email correspondence study in which we pose simple queries to more than 19,000 local public service providers. We find that emails are less likely to receive a response if signed by a black-sounding name compared to a white-sounding name. Given a response rate of 72% for white senders, emails from putatively black senders are almost 4 percentage points less likely to receive an answer. We also find that responses to queries coming from black names are less likely to have a cordial tone. Further tests suggest that the differential in the likelihood of answering is due to animus towards blacks rather than inferring socioeconomic status from race.",data/audit.pdf
roland g. fryer s. levitt,The Causes and Consequences of Distinctively Black Names,2003,"In the 1960's, Blacks and Whites chose relatively similar first names for their children. Over a short period of time in the early 1970's, that pattern changed dramatically with most Blacks (particularly those living in racially isolated neighborhoods) adopting increasingly distinctive names, but a subset of Blacks actually moving toward more assimilating names. The patterns in the data appear most consistent with a model in which the rise of the Black Power movement influenced how Blacks perceived their identities. Among Blacks born in the last two decades, names provide a strong signal of socio-economic status, which was not previously the case. We find, however, no negative causal impact of having a distinctively Black name on life outcomes. Although that result is seemingly in conflict with previous audit studies involving resumes, we argue that the two sets of findings can be reconciled.",10.1162/0033553041502180
s. m. gaddis,Understanding the 'How' and 'Why' Aspects of Racial/Ethnic Discrimination: A Multi-Method Approach to Audit Studies,2019,"Researchers have used audit studies to provide causal evidence of racial discrimination for nearly sixty years. While audits are excellent methodological tools to investigate the “what,” “where,” and “when” aspects of racial/ethnic discrimination, they are less appropriate, by themselves, to investigate the “how,” and “why” aspects of racial/ethnic discrimination. In this article, I review why audit studies are necessary to study racial/ethnic discrimination, the evidence from audit studies, and their limitations. I then argue that scholars should adopt a multi-method approach to audit studies to move from documenting the existence of racial/ethnic discrimination to examining how and why racial/ethnic discrimination occurs. Adoption of this multi-method approach will result in a deeper understanding of racial/ethnic discrimination with the potential to shape both opinions and policy surrounding discrimination.",10.2139/ssrn.3426846
"eyal péer, j. vosgerau, a. acquisti,",Reputation as a sufficient condition for data quality on Amazon Mechanical Turk,2014,"Data quality is one of the major concerns of using crowdsourcing websites such as Amazon Mechanical Turk (MTurk) to recruit participants for online behavioral studies. We compared two methods for ensuring data quality on MTurk: attention check questions (ACQs) and restricting participation to MTurk workers with high reputation (above 95% approval ratings). In Experiment 1, we found that high-reputation workers rarely failed ACQs and provided higher-quality data than did low-reputation workers; ACQs improved data quality only for low-reputation workers, and only in some cases. Experiment 2 corroborated these findings and also showed that more productive high-reputation workers produce the highest-quality data. We concluded that sampling high-reputation workers can ensure high-quality data without having to resort to using ACQs, which may lead to selection bias if participants who fail ACQs are excluded post-hoc.",data/audit.pdf --> https://link.springer.com/article/10.3758/s13428-013-0434-y
a. arechar gordon t. kraft-todd david g. rand,Turking overtime: how participant characteristics and behavior vary over time and day on Amazon Mechanical Turk,2017,"Online experiments allow researchers to collect datasets at times not typical of laboratory studies. We recruit 2,336 participants from Amazon Mechanical Turk to examine if participant characteristics and behaviors differ depending on whether the experiment is conducted during the day versus night, and on weekdays versus weekends. Participants make incentivized decisions involving prosociality, punishment, and discounting, and complete a demographic and personality survey. We find no time or day differences in behavior, but do find that participants at nights and on weekends are less experienced with online studies; on weekends are less reflective; and at night are less conscientious and more neurotic. These results are largely robust to finer grained measures of time and day. We also find that those who participated earlier in the course of the study are more experienced, reflective, and agreeable, but less charitable than later participants.",10.1007/s40881-017-0035-0 --> https://pubmed.ncbi.nlm.nih.gov/29130029/
s. m. gaddis,How Black Are Lakisha and Jamal? Racial Perceptions from Names Used in Correspondence Audit Studies,2017,"Online correspondence audit studies have emerged as the primary method to examine racial discrimination. Although audits use distinctive names to signal race, few studies scientifically examine data regarding the perception of race from names. Different names treated as black or white may be perceived in heterogeneous ways. I conduct a survey experiment that asks respondents to identify the race they associate with a series of names. I alter the first names given to each respondent and inclusion of last names. Names more commonly given by highly educated black mothers (e.g., Jalen and Nia) are less likely to be perceived as black than names given by less educated black mothers (e.g., DaShawn and Tanisha). The results suggest that a large body of social science evidence on racial discrimination operates under a misguided assumption that all black names are alike, and the findings from correspondence audits are likely sensitive to name selection.",10.15195/V4.A19
"Michael Buhrmester, Tracy Kwang, Samuel D. Gosling","Amazon’s Mechanical Turk: A New Source of Inexpensive, Yet High-Quality, Data?",2011,"Amazon's Mechanical Turk (MTurk) is a relatively new website that contains the major elements required to conduct research: an integrated participant compensation system; a large participant pool; and a streamlined process of study design, participant recruitment, and data collection. In this article, we describe and evaluate the potential contributions of MTurk to psychology and other social sciences. Findings indicate that (a) MTurk participants are slightly more demographically diverse than are standard Internet samples and are significantly more diverse than typical American college samples; (b) participation is affected by compensation rate and task length, but participants can still be recruited rapidly and inexpensively; (c) realistic compensation rates do not affect data quality; and (d) the data obtained are at least as reliable as those obtained via traditional methods. Overall, MTurk can be used to obtain high-quality data inexpensively and rapidly.",data/audit.pdf --> https://pubmed.ncbi.nlm.nih.gov/26162106/
jesse j. chandler d. shapiro,Conducting Clinical Research Using Crowdsourced Convenience Samples.,2016,"Crowdsourcing has had a dramatic impact on the speed and scale at which scientific research can be conducted. Clinical scientists have particularly benefited from readily available research study participants and streamlined recruiting and payment systems afforded by Amazon Mechanical Turk (MTurk), a popular labor market for crowdsourcing workers. MTurk has been used in this capacity for more than five years. The popularity and novelty of the platform have spurred numerous methodological investigations, making it the most studied nonprobability sample available to researchers. This article summarizes what is known about MTurk sample composition and data quality with an emphasis on findings relevant to clinical psychological research. It then addresses methodological issues with using MTurk--many of which are common to other nonprobability samples but unfamiliar to clinical science researchers--and suggests concrete steps to avoid these issues or minimize their impact.",10.1146/annurev-clinpsy-021815-093623
jake haselswerdt,"Who Benefits? Race, Immigration, and Assumptions About Policy",2020,"Existing scholarship suggests that attitudes about the real or imagined beneficiaries or targets of public policies shape public opinion about those policies, with racial and ethnic stereotypes driving policy evaluations for many Americans. Despite the importance of these assumptions, we lack strong evidence about how and why people form such assumptions in the first place. In a pre-registered survey experiment, I demonstrate that elements of policy design (e.g., a work requirement) significantly affect the assumptions that individuals make about policy beneficiaries (their race and national origin). These assumptions shape individuals’ evaluations of the policy, conditional on existing attitudes (e.g., racial resentment). Importantly, existing attitudes do not condition the effects at the assumption stage: even those who profess not to believe in racial stereotypes about work ethic still assume that the absence of a work requirement makes a policy more likely to benefit blacks and immigrants.",10.1007/s11109-020-09608-3 --> https://link.springer.com/article/10.1007/s11109-020-09608-3
"k. einstein, d. glick,",Does Race Affect Access to Government Services? An Experiment Exploring Street-Level Bureaucrats and Access to Public Housing,2017,"While experimental studies of local election officials have found evidence of racial discrimination, we know little about whether these biases manifest in bureaucracies that provide access to valuable government programs and are less tied to politics. We address these issues in the context of affordable housing programs using a randomized field experiment. We explore responsiveness to putative white, black, and Hispanic requests for aid in the housing application process. In contrast to prior findings, public housing officials respond at equal rates to black and white email requests. We do, however, find limited evidence of responsiveness discrimination toward Hispanics. Moreover, we observe substantial differences in email tone. Hispanic housing applicants were 20 percentage points less likely to be greeted by name than were their black and white counterparts. This disparity in tone is somewhat more muted in more diverse locations, but it does not depend on whether a housing official is Hispanic.",data/audit.pdf
"christine horne, brice darras, e. bean, anurag srivastava, s. frickel,","Privacy, technology, and norms: the case of Smart Meters.",2015,"Norms shift and emerge in response to technological innovation. One such innovation is Smart Meters - components of Smart Grid energy systems capable of minute-to-minute transmission of consumer electricity use information. We integrate theory from sociological research on social norms and privacy to examine how privacy threats affect the demand for and expectations of norms that emerge in response to new technologies, using Smart Meters as a test case. Results from three vignette experiments suggest that increased threats to privacy created by Smart Meters are likely to provoke strong demand for and expectations of norms opposing the technology and that the strength of these normative rules is at least partly conditional on the context. Privacy concerns vary little with actors' demographic characteristics. These findings contribute to theoretical understanding of norm emergence and have practical implications for implementing privacy protections that effectively address concerns of electricity users.",data/audit.pdf --> https://pubmed.ncbi.nlm.nih.gov/25769852/
s. m. gaddis,Racial/Ethnic Perceptions from Hispanic Names: Selecting Names to Test for Discrimination,2017,"Researchers increasingly use correspondence audit studies to study racial/ethnic discrimination in employment, housing, and other domains. Although this method provides strong causal evidence of racial/ethnic discrimination, these claims depend on the signal being clearly conveyed through names. Few studies have pretested individual racial and ethnic perceptions of the names used to examine discrimination. The author conducts a survey experiment in which respondents are asked to identify the races or ethnicities they associate with a series of names. Respondents are provided with combinations of Hispanic and Anglo first and last names. Hispanic first names paired with Anglo last names are least likely to be recognized as Hispanic, while all versions of Hispanic first and last names are highly recognized (≥90 percent). The results suggest that researchers must use caution when trying to signal Hispanic ethnicity in experiments, and prior findings from correspondence audits may be biased from poor signals.",10.1177/2378023117737193
"daniel m. butler, david e. broockman,",Do Politicians Racially Discriminate Against Constituents? A Field Experiment on State Legislators,2011,"We use a field experiment to investigate whether race affects how responsive state legislators are to requests for help with registering to vote. In an email sent to each legislator, we randomized whether a putatively black or white alias was used and whether the email signaled the sender’s partisan preference. Overall, we find that putatively black requests receive fewer replies. We explore two potential explanations for this discrimination: strategic partisan behavior and the legislators’ own race. We find that the putatively black alias continues to be differentially treated even when the emails signal partisanship, indicating that strategic considerations cannot completely explain the observed differential treatment. Further analysis reveals that white legislators of both parties exhibit similar levels of discrimination against the black alias. Minority legislators do the opposite, responding more frequently to the black alias. Implications for the study of race and politics in the United States are discussed.",data/audit.pdf
patrick button brigham walker,Employment Discrimination Against Indigenous Peoples in the United States: Evidence from a Field Experiment,2019,"We conducted an audit study - a resume correspondence experiment - to measure discrimination in hiring faced by Indigenous Peoples in the United States (Native Americans, Alaska Natives, and Native Hawaiians). We sent employers 13,516 realistic resumes of Indigenous or white applications for common jobs in 11 cities. We signalled Indigenous status in one of four different ways. Interview offer rates do not differ by race, which holds after an extensive battery of robustness checks. We discuss multiple concerns such as the saliency of signals, selection of cities and occupations, and labour market tightness that could affect the results of our audit study and those of others. We also conduct decompositions of wages, unemployment rates, unemployment durations, and employment durations to explore if discrimination might exist in contexts outside our experiment. We conclude by highlighting the essential tests and considerations that are important for future audit studies, regardless of if they find discrimination or not.",10.1016/J.LABECO.2020.101851 --> https://pubmed.ncbi.nlm.nih.gov/32655210/
j. goodman gabriele paolacci,Crowdsourcing Consumer Research,2017,"Data collection in consumer research has progressively moved away from traditional samples (e.g., university undergraduates) and toward Internet samples. In the last complete volume of the Journal of Consumer Research (June 2015–April 2016), 43% of behavioral studies were conducted on the crowdsourcing website Amazon Mechanical Turk (MTurk). The option to crowdsource empirical investigations has great efficiency benefits for both individual researchers and the field, but it also poses new challenges and questions for how research should be designed, conducted, analyzed, and evaluated. We assess the evidence on the reliability of crowdsourced populations and the conditions under which crowdsourcing is a valid strategy for data collection. Based on this evidence, we propose specific guidelines for researchers to conduct high-quality research via crowdsourcing. We hope this tutorial will strengthen the community’s scrutiny on data collection practices and move the field toward better and more valid crowdsourcing of consumer research.",10.1093/JCR/UCX047
"tara s. behrend, d. sharek, a. meade, e. wiebe,",The viability of crowdsourcing for survey research,2011,"Online contract labor portals (i.e., crowdsourcing) have recently emerged as attractive alternatives to university participant pools for the purposes of collecting survey data for behavioral research. However, prior research has not provided a thorough examination of crowdsourced data for organizational psychology research. We found that, as compared with a traditional university participant pool, crowdsourcing respondents were older, were more ethnically diverse, and had more work experience. Additionally, the reliability of the data from the crowdsourcing sample was as good as or better than the corresponding university sample. Moreover, measurement invariance generally held across these groups. We conclude that the use of these labor portals is an efficient and appropriate alternative to a university participant pool, despite small differences in personality and socially desirable responding across the samples. The risks and advantages of crowdsourcing are outlined, and an overview of practical and ethical guidelines is provided.",data/audit.pdf --> https://pubmed.ncbi.nlm.nih.gov/21437749/
s. m. gaddis r. ghoshal,Searching for a Roommate: A Correspondence Audit Examining Racial/Ethnic and Immigrant Discrimination among Millennials,2020,"Survey research finds that millennials have less prejudiced views of racial/ethnic minorities than other generations, leading some to label millennials as postracial. However, attitudinal survey research may be subject to social desirability bias because it documents statements or beliefs instead of actions. Moreover, most audit studies focus on people who make hiring decisions or own rental property and are therefore often older than millennials. This study uses a correspondence audit to investigate discrimination among millennials via “roommate wanted” advertisements. We sent over 4,000 emails and found a tiered pattern of discrimination against Asian (Indian and Chinese), Hispanic, and Black room-seekers. However, whether Asian and Hispanic room-seekers face significant discrimination varies based on whether they use predominantly White first names or traditional first names. Our findings shed light on the future of our racial system, expand our knowledge of discrimination beyond the traditional Black/White binary, and illustrate the persistence of anti-Blackness.",10.1177/2378023120972287
"david n. figlio,","Names, Expectations and the Black-White Test Score Gap",2005,"This paper investigates the question of whether teachers treat children differentially on the basis of factors other than observed ability, and whether this differential treatment in turn translates into differences in student outcomes. I suggest that teachers may use a child's name as a signal of unobserved parental contributions to that child's education, and expect less from children with names that ""sound"" like they were given by uneducated parents. These names, empirically, are given most frequently by Blacks, but they are also given by White and Hispanic parents as well. I utilize a detailed dataset from a large Florida school district to directly test the hypothesis that teachers and school administrators expect less on average of children with names associated with low socio-economic status, and these diminished expectations in turn lead to reduced student cognitive performance. Comparing pairs of siblings, I find that teachers tend to treat children differently depending on their names, and that these same patterns apparently translate into large differences in test scores.",data/audit.pdf
"katherine l. milkman, m. akinola, d. chugh,",Temporal Distance and Discrimination,2012,"Through a field experiment set in academia (with a sample of 6,548 professors), we found that decisions about distant-future events were more likely to generate discrimination against women and minorities (relative to Caucasian males) than were decisions about near-future events. In our study, faculty members received e-mails from fictional prospective doctoral students seeking to schedule a meeting either that day or in 1 week; students’ names signaled their race (Caucasian, African American, Hispanic, Indian, or Chinese) and gender. When the requests were to meet in 1 week, Caucasian males were granted access to faculty members 26% more often than were women and minorities; also, compared with women and minorities, Caucasian males received more and faster responses. However, these patterns were essentially eliminated when prospective students requested a meeting that same day. Our identification of a temporal discrimination effect is consistent with the predictions of construal-level theory and implies that subtle contextual shifts can alter patterns of race- and gender-based discrimination.",data/audit.pdf
melissa g. keith l. tay p. harms,Systems Perspective of Amazon Mechanical Turk for Organizational Research: Review and Recommendations,2017,"Amazon Mechanical Turk (MTurk) is becoming a prevalent source of quick and cost effective data for organizational research, but there are questions about the appropriateness of the platform for organizational research. To answer these questions, we conducted an integrative review based on 75 papers evaluating the MTurk platform and 250 MTurk samples used in organizational research. This integrative review provides four contributions: (1) we analyze the trends associated with the use of MTurk samples in organizational research; (2) we develop a systems perspective (recruitment system, selection system, and work management system) to synthesize and organize the key factors influencing data collected on MTurk that may affect generalizability and data quality; (3) within each factor, we also use available MTurk samples from the organizational literature to analyze key issues (e.g., sample characteristics, use of attention checks, payment); and (4) based on our review, we provide specific recommendations and a checklist for data reporting in order to improve data transparency and enable further research on this issue.",10.3389/fpsyg.2017.01359
