Author,Title,Publication Year,Abstract Note,SOURCE
r. hill norbert pfeifer miriam steurer,The Airbnb rent premium and the crowding-out of long-term rentals,2020,,10.1016/j.jhe.2023.101935 --> https://ideas.repec.org/p/grz/wpaper/2020-06.html
"I. Ayres, M. Banaji, C. Jolls",Race Effects on eBay,2015,,data/airbnb.pdf --> https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1934432
"s. malpezzi,",Hedonic Pricing Models: A Selective and Applied Review,2008,,data/airbnb.pdf --> https://www.researchgate.net/publication/285369028_Hedonic_Pricing_Models_A_Selective_and_Applied_Review
michael makovi,"Is There Racial Discrimination in Housing Assessment? Evidence from Fulton County/Atlanta, Georgia, 2010-2016",2019,,10.2139/ssrn.3438838 --> https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3438838
"j. gilheany, david wang, stephen xi,",The Model Minority? Not on Airbnb.com: A Hedonic Pricing Model to Quantify Racial Bias against Asian Americans,2015,"Benjamin Edelman and Michael Luca of Harvard Business School investigated Airbnb.com, a hospitality exchange service that allows people to rent lodging from hosts who post on the $0 $500 $1,000 $1,500 $2,000 $2,500 $3,000 $3,500 $4,000 $4,500",data/airbnb.pdf
e. ert a. fleischer nathan magen,Trust and reputation in the sharing economy: The role of personal photos in Airbnb,2015,Highlights • We conducted an empirical analysis of Airbnb's data and a controlled experiment. • We examined the impact of hosts' photo on Airbnb on guests' decisions. • A more trustworthy photo leads to a higher price and increased chance to purchase. • Review scores affect guests' decisions only when varied experimentally.,10.1016/J.TOURMAN.2016.01.013 --> https://www.sciencedirect.com/science/article/pii/S0261517716300127
c. lutz g. newlands,Consumer segmentation within the sharing economy: The case of Airbnb,2018,"Highlights • Users of shared rooms and entire homes on Airbnb are substantially different. • Income, education, gender, and travel modality predict accommodation choice. • Airbnb hosts strongly target listings for customer segments, such as for age. • Guest choice and host targeting do not align, leading to potential inefficiency.",10.1016/J.JBUSRES.2018.03.019 --> https://www.sciencedirect.com/science/article/pii/S0148296318301474
bastian jaeger willem w. a. sleegers a. evans m. stel i. van beest,The effects of facial attractiveness and trustworthiness in online peer-to-peer markets,2019,"Highlights • We study the effect of Airbnb hosts’ appearance on the price of their listings. • An analysis of 1,020 listings in New York shows a positive effect of attractiveness. • We also find that Black hosts charge lower prices for similar listing. • This suggests that hosts’ appearance influences consumers’ apartment preferences.",10.1016/J.JOEP.2018.11.004 --> https://www.sciencedirect.com/science/article/pii/S0167487018302794
b. benítez‐aurioles,Why are flexible booking policies priced negatively?,2018,Highlights • Prices negatively correlated with flexible cancellation policies or instant book availability. • Bias arises from correlation between unobservable factors and a rational strategy. • A solid algebraic framework is provided as well as empirical checks. • Convergence in management between conventional and peer-to-peer markets.,10.1016/J.TOURMAN.2018.02.008 --> https://www.sciencedirect.com/science/article/pii/S0261517718300323
thomas l. ainscough c. motley,"Will You Help Me Please? The Effects of Race, Gender and Manner of Dress on Retail Service",2000,"This research attempts to determine if a customer's visible physical characteristics influence retail service delivery. The results of this study suggest that black and male customers wait significantly longer than white and female customers at retail customer service counters. In addition, females are more likely to experience a positive transaction outcome than males.",10.1023/A:1008138722964 --> https://link.springer.com/article/10.1023/A:1008138722964
ulrich gunter,What makes an Airbnb host a superhost? Empirical evidence from San Francisco and the Bay Area,2018,"Highlights • The relative importance of the four Airbnb superhost criteria is investigated. • Data on Airbnb listings from San Francisco and the Bay Area are employed. • Three different index models of binary response are applied. • Obtaining excellent ratings is, by far, the most important superhost criterion. • Commercial Airbnb providers are more likely to obtain the superhost status.",10.1016/J.TOURMAN.2017.11.003 --> https://www.sciencedirect.com/science/article/pii/S026151771730242X
j. gutiérrez j. garcía-palomares gustavo romanillos m. salas-olmedo,The eruption of Airbnb in tourist cities: Comparing spatial patterns of hotels and peer-to-peer accommodation in Barcelona,2016,Highlights • The spatial distribution of Airbnb listings and hotels in Barcelona is analysed. • New geolocated data sources (Airbnb listings and photographs on Panoramio) are used. • Airbnb accommodation offered in Barcelona tend to be concentrated in the city centre. • Airbnb benefits more than hotels from proximity to the sightseeing spots in Barcelona. • Airbnb expands the tourism pressure over residential areas in the centre.,10.1016/j.tourman.2017.05.003 --> https://www.sciencedirect.com/science/article/pii/S0261517717301036
daniel a. guttentag stephen l. j. smith,Assessing Airbnb as a disruptive innovation relative to hotels: Substitution and comparative performance expectations,2017,"Highlights • Nearly two-thirds of Airbnb guests use the service as a hotel substitute. • Regarding traditional hotel attributes, Airbnb is generally expected to outperform budget hotels/motels and underperform upscale hotels. • Regarding traditional hotel attributes, Airbnb is generally expected to have mixed outcomes versus mid-range hotels. • Relative to hotels, Airbnb’s characteristics are somewhat – but not completely – consistent with the concept of disruptive innovation.",10.1016/J.IJHM.2017.02.003 --> https://www.sciencedirect.com/science/article/pii/S0278431916302250
"asaf zussman,",Ethnic Discrimination: Lessons from the Israeli Online Market for Used Cars,2013,"Using a combination of randomised field experiments, follow‐up telephone surveys and other data collection efforts, this article studies the extent and the sources of ethnic discrimination in the Israeli online market for used cars. We find robust evidence of discrimination against Arab buyers and sellers which, the analysis suggests, is motivated by ‘statistical’ rather than ‘taste’ considerations. We additionally find that Arab sellers manipulate their ethnic identity in the market by leaving the name field in their advertisements blank.",data/airbnb.pdf
r. belk,You are what you can access: Sharing and collaborative consumption online,2014,"Sharing is a phenomenon as old as humankind, while collaborative consumption and the “sharing economy” are phenomena born of the Internet age. This paper compares sharing and collaborative consumption and finds that both are growing in popularity today. Examples are given and an assessment is made of the reasons for the current growth in these practices and their implications for businesses still using traditional models of sales and ownership. The old wisdom that we are what we own, may need modifying to consider forms of possession and uses that do not involve ownership.",10.1016/J.JBUSRES.2013.10.001 --> https://www.sciencedirect.com/science/article/pii/S0148296313003366
devin pope justin r. sydnor,What's in a Picture?: Evidence of Discrimination from Prosper.com,2012,"We find evidence of significant racial disparities in a new type of credit market known as peer-to-peer lending. Loan listings with blacks in the attached picture are 25 to 35 percent less likely to receive funding than those of whites with similar credit profiles. Despite the higher average interest rates charged to blacks, lenders making such loans earn a lower net return compared to loans made to whites with similar credit profiles because blacks have higher relative default rates. These results provide insight into whether the discrimination we find is taste-based or statistical.",10.1353/jhr.2011.0025
j. yinger,Measuring racial discrimination with fair housing audits: caught in the Act.,1986,"A survey technique called a ""fair housing audit"" provides a direct measure of racial discrimination in housing. This paper examines the econometric issues raised by audit data, measures the discrimination uncovered by a 1981 Boston study, and tests hypotheses about the causes of discrimination. The estimated level of discrimination is high: Black housing seekers are told about 30 percent fewer available housing units than are whites. The hypothesis tests indicate that the primary cause of this discrimination is that housing agents illegally promote their economic interests by catering to the racial prejudice of their current or potential white customers.",10.1142/9789813206670_0025
"s. rosen,",Hedonic Prices and Implicit Markets: Product Differentiation in Pure Competition,1974,"A class of differentiated products is completely described by a vector of objectively measured characteristics. Observed product prices and the specific amounts of characteristics associated with each good define a set of implicit or ""hedonic"" prices. A theory of hedonic prices is formulated as a problem in the economics of spatial equilibrium in which the entire set of implicit prices guides both consumer and producer locational decisions in characteristics space. Buyer and seller choices, as well as the meaning and nature of market equilibrium, are analyzed. Empirical implications for hedonic price regressions and index number construction are pointed out.",data/airbnb.pdf
c. gibbs daniel a. guttentag u. gretzel j. morton alasdair m. goodwill,Pricing in the sharing economy: a hedonic pricing model applied to Airbnb listings,2018,"ABSTRACT This paper examines the impact of a variety of variables on the rates published for Airbnb listings in five large metropolitan areas in Canada. The researchers applied a hedonic pricing model to 15,716 Airbnb listings. As expected, the results show that physical characteristics, location, and host characteristics significantly impact price. Interestingly, more reviews are associated with a drop in price. This information is useful to hosts who are forming a pricing strategy for their listings as well as for Airbnb, who needs to support them. The paper raises important questions about pricing in the sharing economy and suggests avenues for future research in this area.",10.1080/10548408.2017.1308292
benjamin edelman michael luca d. svirsky,Racial Discrimination in the Sharing Economy: Evidence from a Field Experiment,2016,"In an experiment on Airbnb, we find that applications from guests with distinctively African American names are 16 percent less likely to be accepted relative to identical guests with distinctively white names. Discrimination occurs among landlords of all sizes, including small landlords sharing the property and larger landlords with multiple properties. It is most pronounced among hosts who have never had an African American guest, suggesting only a subset of hosts discriminate. While rental markets have achieved significant reductions in discrimination in recent decades, our results suggest that Airbnb's current design choices facilitate discrimination and raise the possibility of erasing some of these civil rights gains.",10.2139/ssrn.2701902
anne-marie g. harris geraldine r. henderson jerome d. williams,Courting Customers: Assessing Consumer Racial Profiling and other Marketplace Discrimination,2005,"Through an examination of 81 federal court decisions made between 1990 and 2002 involving customers’ allegations of race and/or ethnic discrimination, the authors uncover three emergent dimensions of discrimination: (1) the type of alleged discrimination (subtle or overt), (2) the level of service (degradation or denial), and (3) the existence of criminal suspicion in the alleged discriminatory conduct (present or absent). Using a framework that enables the categorization and aggregation of cases with common themes, the authors demonstrate that real and perceived consumer discrimination remains a problem in the U.S. marketplace, and they conclude that further research is necessary for marketers to address the issue effectively.",10.1509/jppm.24.1.163.63893
dominyka paulauskaite raymond a. powell j. a. coca-stefaniak a. morrison,Living like a local: Authentic tourism experiences and the sharing economy,2017,"Travellers are demanding authentic, experientially oriented opportunities with more meaningful interactions with locals. The sharing economy has emerged partly as a response to these consumer trends with major potential impacts for tourism. This research investigated the phenomenon of authenticity-seeking tourism and its links to the hospitality sector through consumer choices related to accommodation offered by sharing economy providers. It explored the relationship between perceived authenticity of the “local” experience and its significance when purchasing accommodation. The three themes of unique accommodation interiors and atmosphere, interactions with hosts, and interactions with local culture were found to be important to Airbnb users.",10.1002/JTR.2134
a. marchenko,The impact of host race and gender on prices on Airbnb,2019,"This study investigates the impact of host race and gender on Airbnb property prices. I use an existing dataset of Airbnb listings and visually inspect 70,000 host profile pictures to code host demographics. I estimate that Asian hosts earn 4–5%, and Black male hosts 3%, less than White males for the same type of property. However, controlling for more observables weakens the effects, requiring a cautious interpretation of these point estimates. I use two proxies for the number of bookings a listing has to estimate whether a demand or supply shift is responsible for the price disparity. I find that despite the lower prices they charge for listings, minority hosts face lower demand. These findings are consistent with, but not conclusive of, the presence of discrimination.",10.1016/J.JHE.2019.101635 --> https://www.sciencedirect.com/science/article/pii/S1051137718301815
p. verhaeghe billie martiniello marek endrich l. landschoot,Ethnic discrimination on the shared short-term rental market of Airbnb: evidence from a correspondence study in Belgium,2023,"Highlights • We conducted 1043 correspondence tests on the Airbnb platform in Belgium during the Covid-summer of 2021. • Guests with Moroccan-sounding names have 6.9% lower acceptance rates than those with Belgian-sounding names, while there is no discrimination against guests of Polish origin. • The ethnic difference in acceptance rates between Belgian and Moroccan guests accrues to 14.7% among professional hosts, while there is no ethnic difference among non-professional hosts. • This study demonstrates that the Instant book function, which Airbnb introduced in 2016 to inhibit discrimination and bias in the personal selection on Airbnb, is to some extent effective to mitigate discrimination. • These findings suggest that the anti-discrimination policy of Airbnb is insufficient to tackle ethnic discrimination on the platform. More is needed to eradicate discrimination.",10.1016/j.ijhm.2022.103423 --> https://www.sciencedirect.com/science/article/pii/S0278431922002894
prodosh e. simlai,Predicting owner-occupied housing values using machine learning: an empirical investigation of California census tracts data,2021,"ABSTRACT In this paper, we introduce machine-learning (ML) methods to evaluate one of the key concepts of real estate analysis – the prediction of housing prices in the presence of a large number of covariates. We use several supervised ML tools that are based on regularisation methods – notably Ridge, LASSO, and Elastic Net regressions – and discuss their relative performance in comparison to conventional OLS-based methods. Our empirical results show that the supervised ML methods provide a comprehensive description of the determinants of owner-occupied housing values in the census tracts of California. We find that, compared to the familiar worlds of OLS and WLS, the Ridge, LASSO, and Elastic Net regressions provide relatively better out-of-sample predictions. Among the benefits of shrinkage-based ML methods are their ability to resolve such issues as variable selection and overfitting.",10.1080/09599916.2021.1890187
ulrich gunter i. önder,Determinants of Airbnb demand in Vienna and their implications for the traditional accommodation industry,2018,"This study identifies key determinants of Airbnb demand and quantifies their marginal contributions in terms of demand elasticities. A comprehensive cross-sectional data set of all Viennese Airbnb listings that were active between July 2015 and June 2016 is examined. Estimation results, which are obtained by cluster-robust ordinary least squares, show that Airbnb demand in Vienna is price-inelastic. Significant positive drivers include listing size, number of photos, and responsiveness of the host. Significant negative drivers include listing price, distance from the city center, and response time of the host. Implications for the traditional accommodation industry are that, on the one hand, it should better communicate its sought-after advantages (e.g. lower average minimum duration of stay). On the other hand, it should increase its offer of bigger and better equipped hotel rooms since hosting more than two guests at a time is one of the major benefits of Airbnb.",10.1177/1354816617731196
bastian jaeger willem w. a. sleegers,"Racial Disparities in the Sharing Economy: Evidence from More Than 100,000 Airbnb Hosts across 14 Countries",2022,"Sharing economy platforms, such as Airbnb, often requires (or strongly encourages) hosts to share personal information, such as names and profile photos. Previous research suggests that consumers rely on this information to discriminate against hosts from racial minorities. If there is a preference for White hosts, then they should be able to charge higher prices for qualitatively similar rentals. We test this hypothesis using data from Airbnb. An analysis of 96,150 listings across 24 cities and 14 countries showed that non-White hosts charge approximately 2.5%–3% lower prices for qualitatively similar listings (study 1). A preregistered analysis of 12,648 listings across 14 cities in the United States showed that Black hosts charge approximately 5%–7% lower prices and Asian hosts charge approximately 4%–6% lower prices for similar listings (study 2). These findings support the hypothesis that consumers show a preference for White hosts, which allows White hosts to charge higher prices.",10.1086/722700
"kyungwon lee, anne-marie g. hakstian, jerome d. williams,",Creating a world where anyone can belong anywhere: Consumer equality in the sharing economy,2021,"The platform model of business has allowed peer-to-peer interactions that expand the universe of opportunity for providers and users of goods and services. In addition to the numerous benefits of the platform model, it has been fraught with its share of unanticipated challenges to consumer equality – a critical measure of the social welfare. Grounded in the Power-Responsibility Equilibrium framework, this study examines the most aggressive form of consumer action, filing a lawsuit against the platform company, in response to discrimination experienced by consumers on the platform. An analysis of the five legal cases brought by consumers against Roommates.com, Airbnb, and Uber highlights how current laws may be ineffective in addressing the problem of discrimination in the online marketplace against members of protected categories such as race, sexual orientation, and disability. We provide implications for platform companies and public policy makers for changes to promote equality in the sharing economy.",data/airbnb.pdf --> https://www.sciencedirect.com/science/article/pii/S0148296321002009
daniel a. guttentag stephen l. j. smith luke r. potwarka m. havitz,Why Tourists Choose Airbnb: A Motivation-Based Segmentation Study,2016,"Airbnb has grown very rapidly over the past several years, with millions of tourists having used the service. The purpose of this study was to investigate tourists’ motivations for using Airbnb and to segment them accordingly. The study involved an online survey completed in 2015 by more than 800 tourists who had stayed in Airbnb accommodation during the previous 12 months. Aggregate results indicated that respondents were most strongly attracted to Airbnb by its practical attributes, and somewhat less so by its experiential attributes. An exploratory factor analysis identified five motivating factors—Interaction, Home Benefits, Novelty, Sharing Economy Ethos, and Local Authenticity. A subsequent cluster analysis divided the respondents into five segments—Money Savers, Home Seekers, Collaborative Consumers, Pragmatic Novelty Seekers, and Interactive Novelty Seekers. Profiling of the segments revealed numerous distinctive characteristics. Various practical and conceptual implications of the findings are discussed.",10.1177/0047287517696980
"benjamin edelman, michael luca,",Digital Discrimination: The Case of Airbnb.com,2014,"Online marketplaces often contain information not only about products, but also about the people selling the products. In an effort to facilitate trust, many platforms encourage sellers to provide personal profiles and even to post pictures of themselves. However, these features may also facilitate discrimination based on sellers' race, gender, age, or other aspects of appearance. In this paper, we test for racial discrimination against landlords in the online rental marketplace Airbnb.com. Using a new data set combining pictures of all New York City landlords on Airbnb with their rental prices and information about quality of the rentals, we show that non-black hosts charge approximately 12% more than black hosts for the equivalent rental. These effects are robust when controlling for all information visible in the Airbnb marketplace. These findings highlight the prevalence of discrimination in online marketplaces, suggesting an important unintended consequence of a seemingly-routine mechanism for building trust.",data/airbnb.pdf
"katrine berg nødtvedt, hallgeir sjåstad, siv skard, helge thorbjørnsen, j. v. van bavel,",Racial Bias in the Sharing Economy and the Role of Trust and Self-Congruence,2020,"We investigated whether people engage in racial discrimination in the sharing economy, and how such discrimination might be explained and mitigated. Using a set of carefully controlled experiments (N = 1,599), including a pre-registered study on a nationally representative sample, we find causal evidence for racial discrimination. When an identical Airbnb apartment is presented with a racial out-group (vs. in-group) host, people report more negative attitudes towards the apartment, lower intentions to rent it, and are 25% less likely to choose the apartment over a standard hotel room in an incentivized choice. Reduced self-congruence with apartments owned by out-group hosts mediates these effects. However, racial discrimination disappears when the apartment is presented with an explicit trust cue, in the form of a visible top-rating by other consumers (5/5 stars). This suggests that a reputation-based trust cue can counteract the tendency to engage in costly discrimination against products and services provided by out-group members.",data/airbnb.pdf
"sterling a. bone, glenn l. christensen, jerome d. williams, samantha n. n. cross, stephanie dellande,",Moving beyond Perceptions: Examining Service Disparities among Consumers,2022,"Discrimination in service encounters with underrepresented ethnoracial (UER) consumers is especially challenging to identify and remediate when the behavior is microaggressive. Such subtle behaviors often cause harm, even if recipients do not perceive them. Affected individuals may become desensitized, indifferent, or even accepting of this inferior treatment. In this research, we measure and compare actual and perceived service between providers and ethnoracial (ER) consumers. In the context of banking, study 1 of three compares satisfaction ratings across ER consumers (UER and White) and examines actual behaviors of employees across video recordings of service encounters. Study 2 employs a video scenario experiment to demonstrate how ER consumer perceptions differ in evaluating the same encounter. In study 3, subjects evaluate positive and negative service encounters. Our findings show that if actual service is objectively measured, then managers and policy makers will be able to identify and address undetected instances of discrimination.",data/airbnb.pdf
o. abramova,"No matter what the name, we’re all the same? Examining ethnic online discrimination in ridesharing marketplaces",2022,"Sharing marketplaces emerged as the new Holy Grail of value creation by enabling exchanges between strangers. Identity reveal, encouraged by platforms, cuts both ways: While inducing pre-transaction confidence, it is suspected of backfiring on the information senders with its discriminative potential. This study employs a discrete choice experiment to explore the role of names as signifiers of discriminative peculiarities and the importance of accompanying cues in peer choices of a ridesharing offer. We quantify users’ preferences for quality signals in monetary terms and evidence comparative disadvantage of Middle Eastern descent male names for drivers and co-travelers. It translates into a lower willingness to accept and pay for an offer. Market simulations confirm the robustness of the findings. Further, we discover that females are choosier and include more signifiers of involuntary personal attributes in their decision-making. Price discounts and positive information only partly compensate for the initial disadvantage, and identity concealment is perceived negatively.",10.1007/s12525-021-00505-z --> https://link.springer.com/article/10.1007/s12525-021-00505-z
"tawanna r. dillahunt, amelia malone,",The Promise of the Sharing Economy among Disadvantaged Communities,2015,"The digital-sharing economy presents opportunities for individuals to find temporary employment, generate extra income, increase reciprocity, enhance social interaction, and access resources not otherwise attainable. Although the sharing economy is profitable, little is known about its use among the unemployed or those struggling financially. This paper describes the results of a participatory-design based workshop to investigate the perception and feasibility of finding temporary employment and sharing spare resources using sharing-economy applications. Specifically, this study included 20 individuals seeking employment in a U.S. city suffering economic decline. We identify success factors of the digital-sharing economy to these populations, identify shortcomings and propose mitigation strategies based on prior research related to trust, social capital and theories of collective efficacy. Finally, we contribute new principles that may foster collaborative consumption within this population and identify new concepts for practical employment applications among these populations.",data/airbnb.pdf
bastian jaeger willem w. a. sleegers,Racial discrimination in the sharing economy: Evidence from Airbnb markets across the world,2020,"Online peer-to-peer platforms aim to reduce anonymity and increase trust by displaying personal information about sellers. However, consumers may also rely on the names and profile photos of sellers to avoid sellers from certain social groups. Here we analyze more than 100,000 Airbnb rentals to test whether consumers discriminate against hosts from racial minorities. If consumers prefer to stay with a White host, then hosts from racial minorities should be able to charger lower prices for similar rentals. In Study 1, we analyzed 96,150 Airbnb listings across 24 cities, 14 countries, and 3 continents and found that non-White hosts charge 2.74% lower prices for qualitatively similar rentals. In Study 2, a preregistered analysis of 12,648 listings across 14 cities in the United States showed that, compared to White hosts, Black hosts charge 7.39% lower prices and Asian hosts charge 5.94% lower prices. Even though the magnitude of the price penalties varied, they emerged consistently across most cities. In sum, the current findings suggest that there is widespread discrimination against Airbnb hosts from racial minorities.",10.31234/osf.io/qusxf
"lincoln quillian, anthony f. heath, d. pager, arnfinn h. midtbøen, f. fleischmann, ole hexela,",Do Some Countries Discriminate More than Others? Evidence from 97 Field Experiments of Racial Discrimination in Hiring,2019,"Comparing levels of discrimination across countries can provide a window into large-scale social and political factors often described as the root of discrimination. Because of difficulties in measurement, however, little is established about variation in hiring discrimination across countries. We address this gap through a formal meta-analysis of 97 field experiments of discrimination incorporating more than 200,000 job applications in nine countries in Europe and North America. We find significant discrimination against nonwhite natives in all countries in our analysis; discrimination against white immigrants is present but low. However, discrimination rates vary strongly by country: In high-discrimination countries, white natives receive nearly twice the callbacks of nonwhites; in low-discrimination countries, white natives receive about 25 percent more. France has the highest discrimination rates, followed by Sweden. We find smaller differences among Great Britain, Canada, Belgium, the Netherlands, Norway, the United States, and Germany. These findings challenge several conventional macro-level theories of discrimination.",data/airbnb.pdf
sterling a. bone glenn l. christensen jerome d. williams,"Rejected, shackled, and alone: The impact of systemic restricted choice on minority consumers’ construction of self.",2014,"This research investigates the experience of systemic restricted choice and its impact on self-concept among racial and ethnic minority consumers seeking financing. Choosing loans is an involved consumer choice journey, and encountering systemic, chronic, and uncontrollable restrictions on choice at any level of the goal/choice hierarchy limits and even prohibits minorities' ability to make desired choices. Across a multimethod investigation, these three studies demonstrate that minorities experiencing systemic restricted choice endure deleterious impacts to self-concept, including framing the self as fettered, alone, discriminated, and subservient, as well as marked reductions in self-esteem, self-autonomy, and self-efficacy. Minority consumers also frame themselves as striving in a world of limited resources and fighting uphill, often losing battles. Juxtaposing the experiences of racial/ethnic minorities against the choice journeys of educationally and economically similar white consumers puts those minority experiences in sharp relief. The theoretical and transformative consumer research implications of these findings are discussed.",10.1086/676689
"mehdi farajallah, r. hammond, t. pénard,",What Drives Pricing Behavior in Peer-to-Peer Markets? Evidence from the Carsharing Platform BlaBlaCar,2016,"How are prices and market outcomes determined on peer-to-peer platforms? More importantly, how should we expect price-setting and demand behavior to change as these markets mature? We provide the first empirical analysis of the world’s leading carsharing platform, BlaBlaCar. Our econometric model explicitly accounts for the joint determination of price and quantity demanded and finds that pricing decisions evolve as drivers gain experience with the platform. More-experienced drivers set lower prices and, controlling for price, sell more seats. Our interpretation is that more-experienced drivers on BlaBlaCar learn to lower their prices as they gain experience. Further, we find that driver demographics matter. The demographic characteristic with the quantitatively largest effect is for drivers with an Arabic-sounding name, for whom there is meaningfully lower demand, despite the fact that these drivers set lower prices. In total, our results suggest that peer-to-peer markets such as BlaBlaCar share some characteristics with other types of peer-to-peer markets such as eBay but remain a unique and rich setting in which there are many new insights to be gained.",data/airbnb.pdf
s. hati t. balqiah arga hananto elevita yuliati,A decade of systematic literature review on Airbnb: the sharing economy from a multiple stakeholder perspective,2021,"Airbnb, which launched its business in 2009, has experienced explosive growth by creating value through the sharing economy business model. The Airbnb business model helps property owners exploit underutilized assets. However, along with its rapid growth, controversies have arisen among many stakeholders, especially the traditional hotel industry, communities, and policymakers. This study reviews academic articles to pinpoint the factors involved in the relationships among Airbnb and its multiple stakeholders. The aim is to identify the benefits, drawbacks, and issues surrounding Airbnb. The analysis is based on the perspectives of six Airbnb stakeholders: guests, hosts, employees, communities, competitors, and policymakers. A variety of scholarly journals indexed in the Scopus database were reviewed, with 282 included in the final analysis. The analysis will be useful for academics, practitioners, and policymakers alike, as it summarizes the Airbnb relevant actors, identifies key factors that influence stakeholder behavior, and assesses the power and level of influence of each stakeholder. Ultimately, the study points to potential directions for future research on Airbnb.",10.1016/j.heliyon.2021.e08222 --> https://pubmed.ncbi.nlm.nih.gov/34754973/
shahar sansani,Ethnic Discrimination Against Landlords in the Rental Housing Market,2020,"In this paper, we examine ethnic discrimination against landlords by analyzing whether Arab (minority) landlords receive fewer inquiries than Jewish (non-minority) landlords for available apartments for rent. Two hundred and forty-eight fictitious advertisements for apartments for rent were advertised, half with names signaling Jewish individuals and half with names signaling Arab individuals. Moreover, the amount of information regarding the apartments was varied, as half of the advertisements included pictures and a longer description of the apartments, decreasing the uncertainty regarding potential landlords. Finally, through contact-sharing smartphone applications, we examine the ethnicity of the individuals calling each type of advertisement. The main finding is that Jewish landlords receive 36 percent more inquiries overall than Arab landlords, from 29 percent more unique phone numbers than Arab landlords. This finding holds for both high-information and low-information listings. In addition, we find that the more left-leaning a city is politically, the smaller the difference in inquiries between the two types of landlords. Finally, we find that the difference in inquiries received is driven by non-Arab (Jewish) potential tenants.",10.2139/ssrn.3578468
vedran simic a. liem,"THE SHARING ECONOMY'S SUCCESS: ADVANTAGES, DRAWBACKS, AND APPLICATIONS",2023,"Abstract The emergence of intermediary platforms created networks that facilitate peer-to-peer interactions, as well as encourage the sharing of goods and services within the context of collaborative consumption and cost saving. This article sets out to inspect “why the sharing economy is so successful” and provide a critical viewpoint on the topic's essential ideas, while also taking a perspective on the advantages and disadvantages that affect the end users. A literature review paired with case studies of Airbnb, Uber, and other applications of the shared economy, looks upon how despite their rapid market growth in the past decade and public approval, such platforms caused disruptions to the markets they operate in. Results indicate that by being involved as a part of the collaborative consumption ecosystem, either as a provider or a user, the absence of personal ownership is key, while the utilisation of the product needs to be maximised to result in a pleasant experience. However, it is critical that the development of these platforms which thrive on connecting people stays closely monitored by regulatory bodies, and that the legislation needed for prevention of unethical practices follows quickly enough to ensure rightful operation.",10.1017/pds.2023.350
