Author,Title,Publication Year,Abstract Note,SOURCE
"Colin S. Campbell, S. Michael Gaddis",‘I Don’t Agree with Giving Cash’: A Survey Experiment Examining Support for Public Assistance,Forthcoming,"Objective Existing research on support for anti-poverty programs largely focuses on broad categories of welfare. In this article, we examine variations in support across different public assistance programs.  Methods We use an experimental survey design to examine whether support for public assistance is dependent on the type of aid offered.  Results We find that programs that offer benefits in-kind are more popular than cash transfers. Moreover, food stamps and child-care subsidies enjoy more support than housing assistance. Open-ended survey responses show that when evaluating anti-poverty programs, respondents adopt one of two perspectives: (1) cash assistance is problematic but other forms of assistance are acceptable or (2) any assistance is problematic.  Conclusion By too narrowly focusing on welfare, social scientists run the risk of developing theories and explanations that may not apply to the much larger part of the safety net that is delivered in-kind.",data/audit.pdf  --> https://onlinelibrary.wiley.com/doi/abs/10.1111/ssqu.12338
"j. heckman, peter siegelman,",The Urban Institute Audit Studies: Their Methods and Findings,1993,,data/audit.pdf  --> https://www.semanticscholar.org/paper/The-Urban-Institute-Audit-Studies%3A-Their-Methods-Heckman-Siegelman/bb523775490d252f7a84fe8030748f9faad6773a
scott a. wright j. goodman,Mechanical Turk in Consumer Research,2019,"Crowdsourcing provides researchers with several advantages. It provides opportunities and efficiencies that are unavailable with other sampling sources and empowers researchers with few resources. This chapter explores the extent to which the field of marketing academia has embraced crowdsourcing data by measuring researchers’ perceptions and usage of crowdsource samples, particularly Mechanical Turk (MTurk). It highlights a number of important and unexpected findings of particular interest to consumer psychologists. For instance, on MTurk, researchers can predetermine which characteristics qualify/disqualify workers from participation, how much they would like to compensate workers, and whether or not the quality of worker submissions merits any compensation at all. Nonetheless, participants ultimately self-selected whether to complete the survey; thus, the sample may be more representative of those who use MTurk. Researchers may distrust MTurk owing to concerns about participant non-naiveté; therefore, in our study we will examine whether researchers perceive MTurk data as less trustworthy than other similar data collection methods.",10.4324/9781351137713-18  --> https://www.taylorfrancis.com/chapters/edit/10.4324/9781351137713-18/mechanical-turk-consumer-research-scott-wright-joseph-goodman
"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,2005,"Which is more dangerous, a gun or a swimming pool?  What do schoolteachers and sumo wrestlers have in common?  How much do parents really matter?  These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He studies the riddles of everyday life—from cheating and crime to parenting and sports—and reaches conclusions that turn conventional wisdom on its head.  Freakonomics is a groundbreaking collaboration between Levitt and Stephen J. Dubner, an award-winning author and journalist. They set out to explore the inner workings of a crack gang, the truth about real estate agents, the secrets of the Ku Klux Klan, and much more.  Through forceful storytelling and wry insight, they show that economics is, at root, the study of incentives—how people get what they want or need, especially when other people want or need the same thing.",data/audit.pdf  --> https://en.wikipedia.org/wiki/Freakonomics
"Gaddis, S. Michael","A Field Experiment on Associate Degrees and Certificates: Statistical Discrimination, Stigma, Signal Boost, and Signal Saturation",2016,,data/audit.pdf  --> https://psu-us.academia.edu/SMichaelGaddis/CurriculumVitae
"Heckman, James J.",Detecting Discrimination,1998,"The evidence on discrimination produced from the audit method is examined. Audits survey the average firm and not the marginal firm which determines the level of market discrimination. Taken on its own terms, there is little evidence of labor market discrimination from audit methods. The validity of audit methods is critically dependent on unverified assumptions about equality across race/gender groups of the distributions of unobserved (by audit designers) productivity components acted on by firms and about the way labor markets work. Audits can find discrimination when none exists and can disguise it when it does.",data/audit.pdf  --> https://www.aeaweb.org/articles?id=10.1257/jep.12.2.101
"rajiv sharma, a. mitra, m. stano,","Insurance, race/ethnicity, and sex in the search for a new physician",2015,"Highlights • Audit national random sample of primary care physicians to assess access to care.  • Examine racial/ethnic, sex, and insurance-based differences in appointment offers.  • Find disparities in access that are larger than those in insurance-based studies.  • Provide baseline estimates to evaluate key provisions of the Affordable Care Act.   Abstract We employed simulated patient calls to a national random sample of primary care physicians to assess appointment availability for adults who differed by insurance, race/ethnicity, and sex. The disparities we found are much larger than those reported in previous assessments, highlighting the importance of including race/ethnicity and sex in such research.",data/audit.pdf  --> https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1038&context=econ_fac
"David J. Deming, Noam Yuchtman, Amira Abulaﬁ, Claudia Goldin, Lawrence F. Katz",The Value of Postsecondary Credentials in the Labor Market: An Experimental,2016,"We study employers' perceptions of the value of postsecondary degrees using a field experiment. We randomly assign the sector and selectivity of institutions to fictitious resumes and apply to real vacancy postings for business and health jobs on a large online job board. We find that a business bachelor's degree from a for-profit online institution is 22 percent less likely to receive a callback than one from a nonselective public institution. In applications to health jobs, we find that for-profit credentials receive fewer callbacks unless the job requires an external quality indicator such as an occupational license. ",data/audit.pdf  --> https://www.aeaweb.org/articles?id=10.1257/aer.20141757
"Dowling, Conor, and Michael G. Miller",Experimental Evidence on the Relationship Between Interest Group Funding and Candidate Vote Share,2016,"Money comes from a variety of sources in American elections. It is unclear however whether voters’ knowledge about a candidate's funding portfolio influences how that candidate is evaluated. We present the results of two survey experiments in which we randomly assigned the composition of donors from various categories to a hypothetical candidate. We find that on average a candidate described as having received a majority of his contributions from individuals is evaluated more highly than one who received a majority of his contributions from interest groups. We also find that when it comes to self-financing a campaign, using private sector money is more beneficial to candidates than using inherited money, but only when the candidate is a member of the same party as the voter. Our results have implications for campaign strategy, academic debates concerning the effect of money on elections, and policy debates concerning the effects of increased campaign finance disclosure.",data/audit.pdf  --> https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/experimental-evidence-on-the-relationship-between-candidate-funding-sources-and-voter-evaluations/1406498692CAB3AB3F913D0D176CBFBC
"a. hanson, zackary b. hawley, hal martin, bo liu,",Discrimination in mortgage lending: Evidence from a correspondence experiment☆,2016,We design and implement an experimental test for differential response by mortgage loan originators (MLOs) to requests for information about loans. Our e-mail correspondence experiment is designed to analyze differential treatment by client race and credit score. Our results show net discrimination by 1.8% of MLOs through non-response. We also find that MLOs offer more details about loans and are more likely to send follow up correspondence to whites. The effect of being African American on MLO response is equivalent to the effect of having a credit score that is 71 points lower.,data/audit.pdf  --> https://epublications.marquette.edu/econ_fac/555/
"N. Köbis, I. Soraperra, S. Shalvi",The Consequences of Participating in the Sharing Economy: A Systematic Literature Review,2020,"The sharing economy is estimated to add hundreds of billions of dollars to the global economy and is rapidly growing. However, trust-based commercial sharing—the participation in for-profit peer-to-peer sharing-economy activity—has negative as well as positive consequences for both the interacting parties and uninvolved third parties. To share responsibly, one needs to be aware of the various consequences of sharing. We provide a comprehensive, preregistered, systematic literature review of the consequences of trust-based commercial sharing, identifying 93 empirical papers spanning regions, sectors, and scientific disciplines. Via in-depth coding of the empirical work, we provide an authoritative overview of the economic, social, and psychological consequences of trust-based commercial sharing for involved parties, including service providers, users, and third parties. Based on the aggregate insights, we identify the common denominators for the positive and negative consequences. Whereas a well-functioning infrastructure of payment, insurance, and communication enables the positive consequences, ambiguity about rules, roles, and regulations causes non-negligible negative consequences. To overcome these negative consequences and promote more responsible forms of sharing, we propose the transparency-based sharing framework. Based on the framework, we outline an agenda for future research and discuss emerging managerial implications that arise when trying to increase transparency without jeopardizing the potential of trust-based commercial sharing.",data/airbnb.pdf  --> https://journals.sagepub.com/doi/full/10.1177/0149206320967740
matthew v. law mor naaman nicola dell,ShareBox,2018,"Indirect resource exchange (IRE), where individuals share physical items with one another but do not receive direct benefits (e.g. payment), has the potential to increase communities' access to resources, reduce consumption and waste, and bootstrap social ties. Although social technologies could play a key role in realizing this potential, significant barriers have emerged to the adoption of IRE services, including concerns related to trust, reciprocity, and coordination. To explore these issues, we designed and iterated on a concept called ShareBox, a system that enables IRE through a smart lockbox. We developed ShareBox as a technology probe following a set of design guidelines including: creating a physical-virtual system, enabling asynchronous and anonymous exchange, allowing for low-entry-barrier interactions, and emphasizing affordability and flexibility. We explore the benefits and trade-offs of these design guidelines through short deployments and semi-structured interviews with community members, and present findings that highlight both the potential and the remaining challenges of our design.",10.1145/3196709.3196763  --> https://www.youtube.com/shorts/Ryn1BZ6jioQ
G. S. Becker,The Economics of Discrimination,2010,"Mr. Becker’s work confronts the economic effects of discrimination in the market place because of race, religion, sex, color, social class, personality, or other non-pecuniary considerations. He demonstrates that discrimination in the market place by any group reduces their own real incomes as well as those of the minority.",data/airbnb.pdf  --> https://press.uchicago.edu/ucp/books/book/chicago/E/bo22415931.html
"C. C. Eckel, R. Petrie",Face Value,2011,"People pay attention to the appearance of others, and personal characteristics can affect many types of decisions. We ask, is there informational value in a face in a situation where trust and reciprocity can increase earnings? We use a laboratory trust game experiment where subjects are unable to observe a counterpart, must observe a counterpart, or can pay to reveal a counterpart's photograph. Both senders and responders are willing to pay to observe the photos, and we show that behavior, earnings, and efficiency are affected. When subjects are ""face to face,"" efficiency is enhanced, and senders have higher earnings. ",data/airbnb.pdf  --> https://www.aeaweb.org/articles?id=10.1257/aer.101.4.1497
"J. F. Dovidio, M. Hewstone, P. Glick, V. M. Esses","Prejudice, Stereotyping and Discrimination: Theoretical and Empirical Over-view",2010,"This chapter has two main objectives: to review influential ideas and findings in the literature and to outline the organization and content of the volume. The first part of the chapter lays a conceptual and empirical foundation for other chapters in the volume. Specifically, the chapter defines and distinguishes the key concepts of prejudice, stereotypes, and discrimination, highlighting how bias can occur at individual, institutional, and cultural levels. We also review different theoretical perspectives on these phenomena, including individual differences, social cognition, functional relations between groups, and identity concerns. We offer a broad overview of the field, charting how this area has developed over previous decades and identify emerging trends and future directions.",data/airbnb.pdf  --> https://www.researchgate.net/publication/285313079_Prejudice_stereotyping_and_discrimination_Theoretical_and_empirical_overview
"B. Jaeger, W. W. A. Sleegers, A. M. Evans",Automated Classification of Demographics from Face Images: A Tutorial and Validation,2020,"Examining disparities in social outcomes as a function of gender, age, or race has a long tradition in psychology and other social sciences. With an increasing availability of large naturalistic data sets, researchers are afforded the opportunity to study the effects of demographic characteristics with real-world data and high statistical power. However, since traditional studies rely on human raters to asses demographic characteristics, limits in participant pools can hinder researchers from analyzing large data sets. Automated procedures offer a new solution to the classification of face images. Here, we present a tutorial on how to use two face classification algorithms, Face++ and Kairos. We also test and compare their accuracy under varying conditions and provide practical recommendations for their use. Drawing on two face databases (n = 2,805 images), we find that classification accuracy is (a) relatively high, with Kairos generally outperforming Face++ (b) similar for standardized and more variable images, and (c) dependent on target demographics. For example, accuracy was lower for Hispanic and Asian (vs. Black and White) targets. In sum, we propose that automated face classification can be a useful tool for researchers interested in studying the effects of demographic characteristics in large naturalistic data sets.",data/airbnb.pdf  --> https://compass.onlinelibrary.wiley.com/doi/full/10.1111/spc3.12520
D. Guttentag,Airbnb: Disruptive Innovation and the Rise of an Informal Tourism Accommodation Sector,2013,"This article explores the emergence of Airbnb, a company whose website permits ordinary people to rent out their residences as tourist accommodation. The company was just recently established, but it has grown extremely rapidly and is now selling many millions of room nights annually. This rise is examined through the lens of disruptive innovation theory, which describes how products that lack in traditionally favoured attributes but offer alternative benefits can, over time, transform a market and capture mainstream consumers. The concepts of disruptive innovation are used to consider Airbnb's novel business model, which is built around modern internet technologies, and Airbnb's distinct appeal, which centres on cost-savings, household amenities, and the potential for more authentic local experiences. Despite Airbnb's growing popularity, many Airbnb rentals are actually illegal due to short-term rental regulations. These legality issues and their corresponding tax concerns are discussed, with an overview of the current state of regulatory flux and a possible path for resolution. Thereafter, the article considers Airbnb's potential to significantly disrupt the traditional accommodation sector, and the positive and negative impacts Airbnb may have on destinations. Finally, numerous questions for future research are proposed.",data/airbnb.pdf  --> https://www.researchgate.net/publication/271624904_Airbnb_Disruptive_innovation_and_the_rise_of_an_informal_tourism_accommodation_sector
"J. L. Doleac, L. C. D. Stein",The Visible Hand: Race and Online Market Outcomes,2013,"We examine the effect of race on market outcomes by selling iPods through local online classified advertisements throughout the US. Each advertisement features a photograph including a dark or light-skinned hand, or one with a wrist tattoo. Black sellers receive fewer and lower offers than white sellers, and the correspondence with black sellers indicates lower levels of trust. Black sellers’ outcomes are particularly poor in thin markets (suggesting that discrimination may not ‘survive’ competition among buyers) and those with the most racial isolation and property crime (consistent with channels through which statistical discrimination might operate).",data/airbnb.pdf  --> https://onlinelibrary.wiley.com/doi/abs/10.1111/ecoj.12082
r. haase susanne kytzia,Mietertragspotenziale,2007,,10.1080/02513625.2007.10556975  --> https://www.researchgate.net/publication/261625790_Mietertragspotenziale
logi karlsson a. kemperman s. dolnicar,May I sleep in your bed? Getting permission to book,2021,"Demand for tourist accommodation offered on peer-to-peer networks is skyrocketing. In such networks tourists can only book if the accommodation provider (host) gives their permission. Needing permission to book accommodation is radically new in tourism. No hotel, motel or B&B assesses a booking inquiry in detail before accepting their booking. But do peer-to-peer network hosts actually refuse permission to book and, if so, why? A choice experiment with Airbnb hosts shows that refusing permission to book is common and that specific attributes of the booking inquiry—such as the purpose of their trip—affect the likelihood of getting permission to book.",10.1016/J.ANNALS.2016.10.002  --> https://www.researchgate.net/publication/310841451_May_I_sleep_in_your_bed_Getting_permission_to_book
"I. Ayres, M. Banaji, C. Jolls",Race Effects on eBay,2015,"Differential treatment of members of different races has been observed in many markets, including through tester studies and studies in which names are varied on otherwise‐identical resumes. Such differential treatment may result from race per se or from some behavior or attribute that is correlated with race or the signal ‐‐ such as a racialized name ‐‐ of race used in the study, and often it is difficult to know which. This study seeks to isolate the ""bare"" effect of race by examining sale prices for baseball cards we auctioned on eBay with the card up for auction being held by either a dark‐skinned hand or a light‐skinned hand. Because all transactions occurred on‐line, buyers had no access to the types of seller information – demeanor, socioeconomic background, and so forth – that are observable in other studies of the effects of race on economic behavior. Consistent with the existing evidence from tester and resume studies, we find that cards sold by dark‐skinned hands capture lower prices than cards sold by light‐skinned hands.",data/airbnb.pdf  --> https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1934432
"s. malpezzi,",Hedonic Pricing Models: A Selective and Applied Review,2008,"Twenty-five years ago, a few years before his Housing Economics, Professor Duncan Maclennan published a seminal paper on ""Some Thoughts on the Nature and Purpose of House Price Studies."" The pair of publications was well-timed: hedonic price modeling was in the process of moving from a cutting-edge empirical curiosity to a standard method of price index construction that has been used in literally thousands of studies since. 1 In those two publications and in Maclennan's other papers on the topic, several important themes recur: (1) The need to put hedonic models on a firm theoretical footing, including, but not limited to, consideration of the consequences of disequilibrium; (2) To consider whether common specifications are complete, or reasonably so; including, but not limited to, questions of omitted variables, functional form, and the proper definition of a market; and the implications for our work of inevitably imperfect specifications; (3) The design of the pricing model should fit the purpose at hand.",data/airbnb.pdf  --> https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470690680.ch5
michael makovi,"Is There Racial Discrimination in Housing Assessment? Evidence from Fulton County/Atlanta, Georgia, 2010-2016",2019,"Highlights • Some localities used to tax racial minorities at higher effective property tax rates  • Very little recent research exists about this phenomenon  • Unknown whether this phenomenon persists or how pervasive it is  • No evidence of racial discrimination in property taxation is found in Atlanta, Georgia   Abstract In the past, some localities have taxed blacks at higher real rates than whites by over-assessing property values in predominately blacks neighborhoods while taxing those properties at the same nominal rates. In 1974, the NAACP sued Fulton County, Georgia – the principal county of the Atlanta metro area – over this very issue. In 1991, a mass reappraisal intended to remedy this discrimination incited a tax revolt in Fulton. However, there are few recent studies of whether discrimination is still taking place. Using assessment data from Fulton County 2010-2016, I find little to no evidence of any racial or socioeconomic discrimination in ratios of property assessment to sale prices. This suggests that (1) the assessment process is uniform and non-discriminatory, and/or (2) the process and fee for appealing one's assessment is not inaccessible to a degree that would allow any disparities to persist, and/or (3) regression-based mass appraisal techniques are capable of eliminating racial discrimination from property assessment.",10.2139/ssrn.3438838  --> https://www.sciencedirect.com/science/article/abs/pii/S1051137722000018
"Y. Ge, C. R. Knittel, D. MacKenzie, S. Zoepf",Racial and Gender Discrimination in Transportation Network Companies,2020,"Passengers have faced a history of discrimination in transportation systems. Peer transportation companies such as Uber and Lyft present the opportunity to rectify long-standing discrimination or worsen it. We sent passengers in Seattle, WA and Boston, MA to hail nearly 1,500 rides on controlled routes and recorded key performance metrics. Results indicated a pattern of discrimination, which we observed in Seattle through longer waiting times for African American passengers—as much as a 35 percent increase. In Boston, we observed discrimination by Uber drivers via more frequent cancellations against passengers when they used African American- sounding names. Across all trips, the cancellation rate for African American sounding names was more than twice as frequent compared to white sounding names. Male passengers requesting a ride in low-density areas were more than three times as likely to have their trip canceled when they used a African American-sounding name than when they used a white-sounding name. We also find evidence that drivers took female passengers for longer, more expensive, rides in Boston. We observe that removing names from trip booking may alleviate the immediate problem but could introduce other pathways for unequal treatment of passengers.",data/airbnb.pdf  --> https://www.nber.org/papers/w22776
Airbnb,A New Way We ’re Fighting Discrimination on Airbnb,2020,"Our mission has always been to create a world where anyone can belong anywhere. Racism, hate, and discrimination go against everything we believe in as a company and a global community. Since 2016, we’ve removed 1.3 million people from Airbnb for declining to treat others without judgment or bias—but there’s still a lot more work to be done.  An important step in our continued fight against discrimination is understanding when and how it happens. So we’d like to tell you about Project Lighthouse, a groundbreaking initiative we’re launching in the United States to uncover, measure, and overcome discrimination when booking or hosting on Airbnb.  We know you might have questions about Project Lighthouse and what it means for you, and we’ve done our best to answer them here.  How will Project Lighthouse work? Discrimination is based on perception—and on Airbnb, people perceive race from things like first names and profile photos. Together, with civil rights organizations like Color Of Change and Upturn, we're beginning with research to understand when and where racial discrimination happens on our platform and the effectiveness of policies that fight it.",data/airbnb.pdf  --> https://www.airbnb.com/resources/hosting-homes/a/a-new-way-were-fighting-discrimination-on-airbnb-201
brad n. greenwood idris adjerid corey m. angst,How Unbecoming of You: Gender Biases in Perceptions of Ridesharing Performance,2018,"The advent of the Internet and the digitization of commerce have provided both a mechanism by which goods and services can be exchanged, as well as an efficient way for consumers to voice their opi...",10.5465/AMBPP.2018.12196ABSTRACT
"j. gilheany, david wang, stephen xi,",The Model Minority? Not on Airbnb.com: A Hedonic Pricing Model to Quantify Racial Bias against Asian Americans,2015,"Benjamin Edelman and Michael Luca of Harvard Business School investigated Airbnb.com, a hospitality exchange service that allows people to rent lodging from hosts who post on the $0 $500 $1,000 $1,500 $2,000 $2,500 $3,000 $3,500 $4,000 $4,500",data/airbnb.pdf
e. ert a. fleischer nathan magen,Trust and reputation in the sharing economy: The role of personal photos in Airbnb,2015,Highlights • We conducted an empirical analysis of Airbnb's data and a controlled experiment. • We examined the impact of hosts' photo on Airbnb on guests' decisions. • A more trustworthy photo leads to a higher price and increased chance to purchase. • Review scores affect guests' decisions only when varied experimentally.,10.1016/J.TOURMAN.2016.01.013 --> https://www.sciencedirect.com/science/article/pii/S0261517716300127
c. lutz g. newlands,Consumer segmentation within the sharing economy: The case of Airbnb,2018,"Highlights • Users of shared rooms and entire homes on Airbnb are substantially different. • Income, education, gender, and travel modality predict accommodation choice. • Airbnb hosts strongly target listings for customer segments, such as for age. • Guest choice and host targeting do not align, leading to potential inefficiency.",10.1016/J.JBUSRES.2018.03.019 --> https://www.sciencedirect.com/science/article/pii/S0148296318301474
bastian jaeger willem w. a. sleegers a. evans m. stel i. van beest,The effects of facial attractiveness and trustworthiness in online peer-to-peer markets,2019,"Highlights • We study the effect of Airbnb hosts’ appearance on the price of their listings. • An analysis of 1,020 listings in New York shows a positive effect of attractiveness. • We also find that Black hosts charge lower prices for similar listing. • This suggests that hosts’ appearance influences consumers’ apartment preferences.",10.1016/J.JOEP.2018.11.004 --> https://www.sciencedirect.com/science/article/pii/S0167487018302794
b. benítez‐aurioles,Why are flexible booking policies priced negatively?,2018,Highlights • Prices negatively correlated with flexible cancellation policies or instant book availability. • Bias arises from correlation between unobservable factors and a rational strategy. • A solid algebraic framework is provided as well as empirical checks. • Convergence in management between conventional and peer-to-peer markets.,10.1016/J.TOURMAN.2018.02.008 --> https://www.sciencedirect.com/science/article/pii/S0261517718300323
kyle a. thomas scott clifford,Validity and Mechanical Turk: An assessment of exclusion methods and interactive experiments,2017,Highlights • Online participant recruitment has led to persistent concerns about data quality. • Online participants are just as attentive as participants recruited offline. • Online participants buy into experimental social interactions as much as in the lab. • Rigorous exclusion methods can be used to improve data quality online and offline.,10.1016/j.chb.2017.08.038 --> https://www.sciencedirect.com/science/article/pii/S074756321730506X
thomas l. ainscough c. motley,"Will You Help Me Please? The Effects of Race, Gender and Manner of Dress on Retail Service",2000,"This research attempts to determine if a customer's visible physical characteristics influence retail service delivery. The results of this study suggest that black and male customers wait significantly longer than white and female customers at retail customer service counters. In addition, females are more likely to experience a positive transaction outcome than males.",10.1023/A:1008138722964 --> https://link.springer.com/article/10.1023/A:1008138722964
d. aigner g. cain,Statistical Theories of Discrimination in Labor Markets,1977,Examines economic discrimination in labor markets using a stochastic model. Analysis of several types of economic discrimination within the context of competitive market assumptions; Empirical plausibility and implications of the alternative models of economic discrimination; Role of statistical theories in the explanation of labor market discrimination. (Abstract copyright EBSCO.),10.1177/001979397703000204
r. hill norbert pfeifer miriam steurer,The Airbnb rent premium and the crowding-out of long-term rentals,2020,"Highlights • The weekly rent on Airbnb is nearly double that of the long-term rentals. • Hedonic regression, switching and matching models all provide similar results. • More expensive and touristic postcodes have higher Airbnb rent premia. • More expensive and touristic postcodes have higher vacancy rates. • Day limits on Airbnb rentals affect cheaper regions more than touristic ones.",10.1016/j.jhe.2023.101935  --> https://www.sciencedirect.com/science/article/pii/S1051137723000220
ulrich gunter,What makes an Airbnb host a superhost? Empirical evidence from San Francisco and the Bay Area,2018,"Highlights • The relative importance of the four Airbnb superhost criteria is investigated. • Data on Airbnb listings from San Francisco and the Bay Area are employed. • Three different index models of binary response are applied. • Obtaining excellent ratings is, by far, the most important superhost criterion. • Commercial Airbnb providers are more likely to obtain the superhost status.",10.1016/J.TOURMAN.2017.11.003 --> https://www.sciencedirect.com/science/article/pii/S026151771730242X
